#   #http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/155/196/table1
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-18T09:51:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cdfd5143f99	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/155/196&tab:{J/AJ/155/196/table1}&key:source=J/AJ/155/196/table1&HTTPPRM:&&-ref=VIZ5cdfd5143f99&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/155/196/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=EPIC&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=Ksmag&-out=(V-Ks)u&-out=E(V-Ks)&-out=Ksmag0&-out=Per1&-out=Per2&-out=Per3&-out=Per4&-out=Disk&-out=SimbadName&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/AJ/155/196/table1
#-source=J/AJ/155/196/table1
#-out=EPIC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=Ksmag
#-out=(V-Ks)u
#-out=E(V-Ks)
#-out=Ksmag0
#-out=Per1
#-out=Per2
#-out=Per3
#-out=Per4
#-out=Disk
#-out=SimbadName
#

#RESOURCE=yCat_51550196
#Name: J/AJ/155/196
#Title: Analysis of K2 LCs for members of USco & {rho} Oph (Rebull+, 2018)
#Table	J_AJ_155_196_table1:
#Name: J/AJ/155/196/table1
#Title: Periods and supporting data for USco and {rho} Oph members with K2 light curves
#Column	EPIC	(I9)	[202499459/210282557] Ecliptic Plane Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[4.57/19.1]? Apparent V band Vega magnitude	[ucd=phot.mag;em.opt.V]
#Column	Ksmag	(F5.2)	[2.24/16.75]? Apparent K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	(V-Ks)u	(F5.2)	[-0.41/18.3]? The (V-K_s_) color used (1)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	E(V-Ks)	(F5.2)	[0/36.36]? Adopted (V-K_s_) color excess (see Section 2.4)	[ucd=phot.color.excess]
#Column	Ksmag0	(F5.2)	[2.1/16.66]? Dereddened K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	Per1	(F7.4)	[0.0476/38.3933]? Primary period (taken to be the rotation period, see text)	[ucd=time.period]
#Column	Per2	(F7.4)	[0.0458/23.9255]? Secondary period	[ucd=time.period]
#Column	Per3	(F7.4)	[0.045/12.9722]? Tertiary period	[ucd=time.period]
#Column	Per4	(F7.4)	[0.0452/18.3921]? Quaternary period	[ucd=time.period]
#Column	Disk	(a5)	IR excess (disk) is present? (maybe, yes or no)	[ucd=meta.code]
#Column	SimbadName	(A14)	Simbad column added by the CDS	[ucd=meta.id]
EPIC	RAJ2000	DEJ2000	Vmag	Ksmag	(V-Ks)u	E(V-Ks)	Ksmag0	Per1	Per2	Per3	Per4	Disk	SimbadName
204897050	16 01 40.97	-20 22 08.3	     	10.86	 6.55	 0.75	10.77	 0.2639	       	       	       	no   	EPIC 204897050
204794876	16 01 47.43	-20 49 45.7	     	 8.61	 4.58	 0.57	 8.54	 1.4900	 2.1528	       	       	no   	EPIC 204794876
203853244	16 01 47.68	-24 41 01.3	     	13.01	 6.56	 0.48	12.94	 0.6493	       	       	       	no   	EPIC 203853244
204435603	16 01 49.50	-22 20 45.5	     	12.42	 6.79	 0.46	12.36	 1.5936	       	       	       	no   	
204054129	16 01 49.54	-23 51 08.5	     	11.93	 6.32	 0.59	11.85	 0.5272	 0.6122	       	       	no   	
203834337	16 01 51.48	-24 45 25.0	     	 8.48	 3.81	 0.19	 8.46	 4.6547	       	       	       	no   	EPIC 203834337
204525956	16 01 55.45	-21 58 49.4	 7.19	 6.90	 0.29	 0.41	 6.85	       	       	       	       	no   	EPIC 204525956
204612315	16 01 56.47	-21 37 03.8	11.24	 8.30	 2.94	 0.00	 8.30	 4.7285	       	       	       	no   	EPIC 204612315
205232648	16 01 57.65	-18 43 42.4	     	10.90	 5.89	 0.60	10.82	 1.9751	       	       	       	no   	
204947015	16 01 58.22	-20 08 12.0	10.50	 7.67	 2.83	 0.88	 7.56	 1.7739	       	       	       	no   	EPIC 204947015
204350926	16 01 58.93	-22 40 37.1	     	10.43	 5.48	 0.20	10.41	 0.7299	       	       	       	no   	EPIC 204350926
205232450	16 01 59.86	-18 43 45.9	     	10.18	 5.44	 0.16	10.16	15.0634	       	       	       	no   	
204432860	16 02 00.39	-22 21 23.8	13.59	 8.84	 4.75	 0.42	 8.79	 2.8752	       	       	       	no   	EPIC 204432860
204388640	16 02 04.29	-22 31 47.0	     	11.55	 8.82	 2.70	11.20	 2.6268	       	       	       	yes  	EPIC 204388640
204791347	16 02 04.29	-20 50 42.8	18.60	11.83	 6.77	 0.76	11.73	 0.4224	 0.2450	       	       	maybe	EPIC 204791347
204137184	16 02 05.17	-23 31 07.2	     	10.67	 6.08	 0.98	10.55	 2.6411	       	       	       	yes  	EPIC 204137184
203708909	16 02 06.82	-25 12 38.8	     	11.87	 6.04	 3.07	11.48	 1.1282	       	       	       	no   	EPIC 203708909
204278916	16 02 07.56	-22 57 47.0	     	 9.86	 4.94	 0.73	 9.77	 3.6335	       	       	       	yes  	EPIC 204278916
204290833	16 02 08.45	-22 54 59.1	14.09	 9.55	 4.54	 0.40	 9.50	 6.1879	       	       	       	no   	EPIC 204290833
204258708	16 02 09.54	-23 02 27.9	     	11.83	 6.18	 0.23	11.80	 0.4837	       	       	       	no   	EPIC 204258708
204347304	16 02 10.45	-22 41 28.2	     	 8.06	 3.29	 0.69	 7.97	 3.5190	 2.3915	       	       	no   	EPIC 204347304
204948308	16 02 10.95	-20 07 49.8	     	11.42	 6.19	 0.57	11.34	 0.9397	       	       	       	no   	EPIC 204948308
204178534	16 02 12.80	-23 21 20.5	     	11.68	 6.09	 2.33	11.38	 1.3517	       	       	       	no   	EPIC 204178534
204348206	16 02 13.55	-22 41 15.2	 7.33	 6.97	 0.36	 0.41	 6.92	 0.2552	 3.5169	 0.2540	       	no   	EPIC 204348206
203863529	16 02 14.88	-24 38 32.9	     	11.15	 6.12	 0.35	11.10	 0.2543	 0.3215	       	       	no   	EPIC 203863529
205173629	16 02 21.47	-19 02 05.8	     	10.30	 6.03	 0.99	10.17	 9.0908	       	       	       	no   	
204271115	16 02 23.56	-22 59 33.5	     	11.03	 6.38	 0.28	11.00	 1.0184	       	       	       	no   	EPIC 204271115
204437393	16 02 23.65	-22 20 19.6	     	 9.62	 5.40	 0.36	 9.58	 1.5002	       	       	       	no   	EPIC 204437393
203629401	16 02 24.41	-25 29 12.5	     	12.47	 6.43	 0.28	12.43	 0.4951	       	       	       	no   	
204519555	16 02 24.59	-22 00 24.8	     	 9.38	 4.33	 0.32	 9.34	 0.8951	       	       	       	no   	EPIC 204519555
204417649	16 02 25.97	-22 24 57.7	     	11.65	 6.18	 0.23	11.62	 1.4350	       	       	       	no   	
204517888	16 02 32.25	-22 00 48.9	     	12.34	 6.93	 0.73	12.25	       	       	       	       	yes  	EPIC 204517888
204518814	16 02 34.17	-22 00 35.7	     	11.75	 7.24	 0.86	11.64	 0.4513	       	       	       	no   	EPIC 204518814
204182919	16 02 35.86	-23 20 17.2	     	10.20	 5.56	 0.28	10.17	 6.6977	       	       	       	yes  	EPIC 204182919
204356847	16 02 40.08	-22 39 13.5	     	11.38	 6.10	 1.92	11.13	 1.2901	       	       	       	no   	
204317053	16 02 41.41	-22 48 42.1	     	11.99	 7.14	 1.06	11.86	 1.5945	       	       	       	yes  	EPIC 204317053
204607034	16 02 41.51	-21 38 24.7	     	11.18	 6.44	 1.09	11.04	 1.9654	       	       	       	yes  	EPIC 204607034
203560204	16 02 44.47	-25 43 32.5	     	11.33	 5.45	 0.22	11.30	 2.3026	       	       	       	no   	EPIC 203560204
205078547	16 02 45.44	-19 30 38.1	     	11.14	 6.44	 0.52	11.07	 0.7863	       	       	       	no   	EPIC 205078547
204248645	16 02 45.73	-23 04 51.3	     	11.50	 6.51	 0.50	11.44	 0.2621	 0.3861	       	       	yes  	EPIC 204248645
204894575	16 02 53.96	-20 22 47.9	12.49	 8.19	 4.30	 0.32	 8.15	 1.9540	       	       	       	no   	EPIC 204894575
204322706	16 02 55.13	-22 47 20.7	     	10.57	 5.65	 0.45	10.51	 3.1006	       	       	       	no   	EPIC 204322706
203846183	16 02 57.42	-24 42 41.8	     	11.40	 5.89	 0.23	11.37	 1.5750	       	       	       	no   	EPIC 203846183
204282976	16 02 58.55	-22 56 49.7	     	10.11	 4.92	 0.41	10.06	 1.8660	       	       	       	no   	EPIC 204282976
203547407	16 03 00.18	-25 46 10.9	     	 8.47	 3.76	 0.08	 8.46	       	       	       	       	no   	
204489514	16 03 01.60	-22 07 52.7	     	11.73	 6.91	 0.62	11.65	 1.7049	       	       	       	yes  	EPIC 204489514
203348270	16 03 01.76	-26 26 22.1	     	 9.69	 4.39	 0.43	 9.64	 4.1734	       	       	       	no   	
204553407	16 03 01.79	-21 51 58.6	     	11.49	 5.98	 0.70	11.40	 1.7175	       	       	       	no   	
203348744	16 03 02.35	-26 26 16.6	     	12.15	 6.93	 1.21	12.00	 4.1674	       	       	       	     	EPIC 203348744
204376053	16 03 14.89	-22 34 45.9	     	10.70	 6.46	 0.41	10.65	 1.5654	 2.0296	       	       	no   	
204360645	16 03 22.76	-22 38 21.0	     	11.17	 6.16	 0.40	11.12	 1.9005	       	       	       	yes  	
203551698	16 03 22.89	-25 45 17.5	     	10.19	 5.08	 0.41	10.13	19.6837	       	       	       	no   	
203551881	16 03 23.45	-25 45 14.9	     	 9.54	 4.52	 0.00	 9.54	 0.7107	       	       	       	no   	
204852633	16 03 24.35	-20 34 13.2	     	12.34	 7.13	 0.69	12.25	 0.3454	       	       	       	no   	
203341895	16 03 25.98	-26 27 32.2	     	10.77	 5.88	 0.22	10.74	 0.8336	       	       	       	no   	
204538777	16 03 26.25	-21 55 38.1	     	11.60	 6.52	 0.91	11.48	 1.4806	       	       	       	yes  	EPIC 204538777
204548337	16 03 27.87	-21 53 15.4	     	 9.86	 4.58	 0.59	 9.79	 5.5706	       	       	       	no   	EPIC 204548337
205200173	16 03 28.71	-18 53 51.9	     	10.12	 5.88	 0.25	10.09	 7.5153	       	       	       	no   	
204993463	16 03 29.40	-19 55 03.9	     	11.03	 5.90	 0.34	10.99	 0.8547	 1.1069	       	       	no   	EPIC 204993463
204063024	16 03 31.81	-23 48 58.3	     	 9.73	 4.63	 0.70	 9.64	 9.2188	       	       	       	no   	EPIC 204063024
204246759	16 03 33.79	-23 05 19.0	     	 9.05	 3.44	 0.70	 8.96	 4.4275	 4.3351	       	       	no   	
204328600	16 03 35.50	-22 45 56.1	10.97	 8.36	 2.61	 0.42	 8.31	 2.4213	       	       	       	no   	EPIC 204328600
205228053	16 03 37.76	-18 45 08.6	     	 9.81	 5.03	 0.89	 9.69	 7.6483	       	       	       	no   	
203420271	16 03 37.98	-26 11 54.6	     	12.17	 5.76	 1.75	11.95	 1.3072	       	       	       	no   	EPIC 203420271
205199316	16 03 38.30	-18 54 07.6	     	 9.54	 5.07	 0.78	 9.44	 0.7729	       	       	       	no   	
205207894	16 03 39.22	-18 51 29.5	     	10.20	 5.65	 0.71	10.11	10.5026	       	       	       	no   	
204119181	16 03 40.29	-23 35 23.8	     	11.32	 5.68	 0.31	11.28	 2.6885	       	       	       	no   	EPIC 204119181
204954915	16 03 41.86	-20 05 57.9	     	 9.49	 5.01	 0.49	 9.42	 4.6185	       	       	       	no   	EPIC 204954915
204920926	16 03 43.34	-20 15 31.6	     	 9.72	 4.94	 0.09	 9.70	 5.6020	       	       	       	no   	EPIC 204920926
204180473	16 03 45.02	-23 20 53.0	     	10.51	 5.34	 0.70	10.42	 1.9040	       	       	       	no   	
204330803	16 03 46.95	-22 45 24.7	     	 9.10	 4.89	 0.47	 9.04	12.9396	       	       	       	no   	
204122161	16 03 50.41	-23 34 41.1	     	 9.70	 4.65	 0.70	 9.61	 1.6102	       	       	       	no   	EPIC 204122161
205041327	16 03 50.46	-19 41 21.8	     	10.59	 5.81	 0.44	10.54	 2.9615	       	       	       	no   	EPIC 205041327
204599787	16 03 51.75	-21 40 15.7	     	10.55	 6.56	 0.54	10.48	 1.0318	 0.8194	 0.6002	       	no   	
203723257	16 03 54.03	-25 09 39.7	     	11.38	 5.85	 0.00	11.38	 1.4610	       	       	       	maybe	
204862109	16 03 54.96	-20 31 38.5	13.20	 8.62	 4.58	 0.44	 8.57	 1.7281	 1.0520	       	       	no   	EPIC 204862109
204864076	16 03 57.67	-20 31 05.6	     	 8.37	 4.35	 1.82	 8.14	 3.8798	       	       	       	yes  	EPIC 204864076
205038557	16 03 57.92	-19 42 11.1	     	10.32	 5.23	 0.73	10.23	 3.8303	       	       	       	yes  	EPIC 205038557
204230890	16 03 59.12	-23 09 05.6	     	 9.53	 4.55	 0.78	 9.43	 6.7346	       	       	       	no   	
205025028	16 04 00.23	-19 46 02.9	 7.77	 7.24	 0.53	 0.65	 7.15	       	       	       	       	no   	EPIC 205025028
204072696	16 04 04.53	-23 46 38.0	     	10.73	 5.81	 0.65	10.65	 3.7652	       	       	       	yes  	EPIC 204072696
203290460	16 04 06.71	-26 37 07.2	     	 9.98	 5.06	 0.28	 9.94	 2.3362	       	       	       	no   	
204376071	16 04 10.11	-22 34 45.7	     	11.55	 6.38	 0.19	11.53	 1.6268	       	       	       	no   	EPIC 204376071
203920102	16 04 14.73	-24 24 43.6	     	11.68	 6.13	 0.17	11.66	 1.6063	       	       	       	no   	EPIC 203920102
205037578	16 04 17.39	-19 42 28.9	     	10.42	 4.27	 0.61	10.34	 1.7283	       	       	       	yes  	EPIC 205037578
203895983	16 04 18.93	-24 30 39.3	     	 8.85	 4.96	 1.23	 8.69	 2.4474	 2.5757	       	       	yes  	EPIC 203895983
204637622	16 04 20.98	-21 30 41.6	     	 9.43	 5.68	 0.63	 9.35	 1.0516	 1.3853	       	       	maybe	EPIC 204637622
204638512	16 04 21.65	-21 30 28.5	     	 8.51	 4.39	 1.90	 8.26	 4.9868	       	       	       	yes  	EPIC 204638512
203514056	16 04 22.55	-25 53 04.1	     	11.86	 5.52	 0.70	11.77	 2.2318	       	       	       	no   	EPIC 203514056
204603210	16 04 35.87	-21 39 22.3	     	 9.86	 5.68	 0.49	 9.80	 1.0926	 1.2230	       	       	no   	EPIC 204603210
203463878	16 04 39.65	-26 03 08.7	     	11.42	 5.91	 2.30	11.12	 0.8042	       	       	       	no   	EPIC 203463878
205345560	16 06 23.81	-18 07 18.6	     	10.38	 5.78	 0.85	10.27	       	       	       	       	yes  	
205164304	16 06 31.10	-19 04 57.6	     	12.72	 7.44	 0.76	12.62	 2.3011	       	       	       	no   	
205454164	16 06 39.30	-17 28 49.9	     	10.28	 4.97	 0.36	10.23	17.6813	       	       	       	maybe	
204970885	16 06 39.89	-20 01 28.4	     	10.08	 5.21	 0.63	10.00	 6.8925	       	       	       	no   	EPIC 204970885
205208701	16 06 42.66	-18 51 14.0	     	13.18	 7.40	 0.70	13.09	 0.9063	       	       	       	yes  	EPIC 205208701
205154017	16 06 43.85	-19 08 05.5	     	 9.19	 4.31	 0.77	 9.10	 7.0065	       	       	       	yes  	EPIC 205154017
204895521	16 06 47.51	-20 22 32.1	     	 9.87	 5.14	 0.69	 9.78	 4.8923	       	       	       	no   	EPIC 204895521
205238942	16 06 47.93	-18 41 43.8	     	 8.98	 3.60	 0.70	 8.89	 9.3461	       	       	       	yes  	EPIC 205238942
204856827	16 06 59.37	-20 33 04.7	     	 9.54	 5.80	 0.65	 9.46	 1.6480	 2.8058	       	       	no   	EPIC 204856827
204819492	16 07 00.08	-20 43 10.5	     	10.82	 6.08	 0.85	10.71	 2.0777	       	       	       	no   	EPIC 204819492
204856535	16 07 00.15	-20 33 09.2	     	 9.94	 5.64	 1.40	 9.76	       	       	       	       	yes  	EPIC 204856535
204494633	16 07 00.51	-22 06 36.3	     	10.44	 5.35	 0.28	10.41	 2.5116	       	       	       	no   	EPIC 204494633
204871862	16 07 01.69	-20 28 58.2	     	12.32	 7.01	 0.70	12.23	 1.6489	       	       	       	yes  	EPIC 204871862
204844509	16 07 03.56	-20 36 26.4	12.23	 8.10	 4.13	 0.17	 8.08	 1.7132	 1.6500	       	       	no   	EPIC 204844509
204819661	16 07 03.72	-20 43 07.7	14.51	 9.53	 4.98	 0.45	 9.48	10.2495	       	       	       	no   	EPIC 204819661
205142483	16 07 03.93	-19 11 33.9	14.21	 9.22	 4.99	 0.63	 9.14	 6.6342	       	       	       	no   	EPIC 205142483
204919503	16 07 04.73	-20 15 56.0	     	11.46	 6.18	 0.52	11.39	 3.1147	       	       	       	no   	EPIC 204919503
205089832	16 07 07.67	-19 27 16.4	     	 9.80	 5.02	 0.27	 9.77	 8.1750	       	       	       	no   	EPIC 205089832
205088828	16 07 08.73	-19 27 34.3	     	11.17	 5.83	 0.50	11.11	 1.6609	       	       	       	no   	EPIC 205088828
204955018	16 07 09.54	-20 05 56.2	     	 8.51	 3.24	 0.70	 8.42	       	       	       	       	no   	EPIC 204955018
205519771	16 07 14.01	-17 02 42.7	     	10.75	 5.54	 0.49	10.69	 2.4549	       	       	       	yes  	EPIC 205519771
204787127	16 07 14.44	-20 51 52.0	     	 9.63	 4.93	 0.03	 9.62	 7.4111	       	       	       	no   	EPIC 204787127
205378839	16 07 14.92	-17 56 09.7	 7.81	 7.40	 0.41	 0.53	 7.33	       	       	       	       	no   	EPIC 205378839
204813678	16 07 16.06	-20 44 44.0	     	10.37	 6.09	 0.78	10.27	 2.3120	       	       	       	maybe	EPIC 204813678
205390110	16 07 17.41	-17 52 30.4	 9.41	 7.99	 1.42	 0.05	 7.99	 5.2411	       	       	       	no   	EPIC 205390110
204506777	16 07 17.78	-22 03 36.5	 8.75	 7.05	 1.70	 0.71	 6.96	 1.5325	 0.8130	       	       	no   	EPIC 204506777
204901273	16 07 19.71	-20 20 55.8	     	10.72	 5.95	 0.66	10.63	 4.9249	       	       	       	no   	EPIC 204901273
203915140	16 07 21.60	-24 25 58.4	     	 8.88	 2.77	 0.70	 8.78	       	       	       	       	no   	
204933717	16 07 22.39	-20 11 58.5	     	11.59	 6.75	 1.14	11.44	 1.5522	       	       	       	yes  	EPIC 204933717
205495323	16 07 23.12	-17 12 41.9	     	 9.38	 3.80	 0.00	 9.38	 7.0657	       	       	       	no   	
204242152	16 07 23.75	-23 06 24.1	     	 9.85	 5.32	 0.23	 9.82	 2.1044	 1.5719	       	       	no   	EPIC 204242152
203889938	16 07 26.24	-24 32 08.1	     	 9.88	 5.60	 1.07	 9.74	       	       	       	       	yes  	EPIC 203889938
204583750	16 07 26.41	-21 44 16.9	     	13.68	 7.07	 0.62	13.60	 1.5372	       	       	       	no   	EPIC 204583750
204757338	16 07 27.46	-20 59 44.4	     	10.22	 6.48	 0.73	10.13	 2.2977	 1.0586	       	       	yes  	EPIC 204757338
204909952	16 07 27.53	-20 18 34.8	     	11.44	 7.09	 1.07	11.30	 0.6305	 0.5628	       	       	no   	EPIC 204909952
204233955	16 07 29.53	-23 08 22.4	     	10.61	 5.77	 1.12	10.47	 2.0073	       	       	       	yes  	EPIC 204233955
204544974	16 07 33.51	-21 54 05.7	     	 8.77	 3.00	 0.70	 8.68	       	       	       	       	no   	
204878461	16 07 35.55	-20 27 13.7	     	11.96	 6.32	 0.50	11.90	 1.8261	       	       	       	no   	EPIC 204878461
203860131	16 07 36.50	-24 39 22.2	     	10.00	 4.23	 0.00	10.00	 5.9332	       	       	       	no   	
205063210	16 07 39.15	-19 35 04.3	     	11.31	 6.51	 0.45	11.25	 2.4332	       	       	       	yes  	
205121714	16 07 39.38	-19 17 47.4	     	 9.80	 5.24	 0.84	 9.69	 9.1135	       	       	       	yes  	EPIC 205121714
204566199	16 07 40.06	-21 48 42.7	     	 9.67	 4.09	 0.12	 9.66	 6.6056	       	       	       	no   	
204845955	16 07 44.48	-20 36 03.2	14.81	 9.08	 5.74	 0.52	 9.01	 1.1960	 2.5315	 1.3137	       	no   	EPIC 204845955
204426231	16 07 45.21	-22 22 57.7	     	11.52	 6.38	 0.40	11.47	 2.2514	 2.0986	       	       	no   	EPIC 204426231
203753432	16 07 48.61	-25 03 14.3	     	11.43	 5.62	 0.00	11.43	 1.1744	       	       	       	no   	
204434363	16 07 50.38	-22 21 02.3	     	11.34	 6.20	 0.71	11.25	 1.5961	       	       	       	yes  	EPIC 204434363
205480850	16 07 51.35	-17 18 23.3	     	10.04	 5.20	 0.31	10.00	 6.2480	       	       	       	no   	
203843009	16 07 55.65	-24 43 27.1	     	12.71	 6.94	 1.33	12.54	 1.3510	       	       	       	yes  	EPIC 203843009
204830256	16 07 57.12	-20 40 17.7	     	11.65	 6.63	 0.66	11.56	 3.6500	       	       	       	no   	
204229583	16 07 57.76	-23 09 23.6	     	 9.09	 5.23	 0.35	 9.05	 0.6893	 0.7661	10.0931	       	no   	EPIC 204229583
204830786	16 07 57.95	-20 40 08.9	14.80	 7.81	 6.99	 4.53	 7.23	       	       	       	       	yes  	EPIC 204830786
204832041	16 07 58.49	-20 39 48.8	     	12.59	 7.35	 0.76	12.49	 0.5820	       	       	       	maybe	EPIC 204832041
203851147	16 07 58.76	-24 41 31.9	     	 9.83	 5.57	 0.25	 9.80	 5.9078	 5.3359	       	       	no   	EPIC 203851147
204829482	16 08 00.50	-20 40 29.1	     	11.33	 6.43	 0.71	11.24	 1.9464	 2.5668	       	       	no   	EPIC 204829482
204876697	16 08 01.41	-20 27 41.6	     	 9.29	 4.62	 0.95	 9.17	 9.2723	       	       	       	no   	EPIC 204876697
205087483	16 08 01.55	-19 27 58.2	     	 9.69	 5.59	 0.61	 9.61	 1.5134	 2.3752	       	       	no   	EPIC 205087483
204273100	16 08 02.17	-22 59 05.9	     	11.26	 6.44	 0.38	11.21	 0.5122	       	       	       	no   	EPIC 204273100
204895410	16 08 02.37	-20 22 34.0	     	10.62	 6.54	 0.48	10.56	 2.1105	 2.4133	       	       	no   	EPIC 204895410
203271901	16 08 04.10	-26 40 44.9	     	 9.06	 4.59	 0.62	 8.98	 1.5838	 1.0901	       	       	no   	EPIC 203271901
204643047	16 08 04.21	-21 29 19.7	     	 9.82	 4.96	 0.36	 9.77	 3.2726	       	       	       	no   	EPIC 204643047
203788687	16 08 05.22	-24 55 33.2	 9.22	 7.43	 1.79	 0.78	 7.33	 0.8911	 0.8634	       	       	no   	EPIC 203788687
204446677	16 08 05.53	-22 18 07.3	     	 9.85	 4.96	 0.21	 9.82	 5.6054	       	       	       	maybe	EPIC 204446677
203844446	16 08 06.10	-24 43 05.9	     	11.53	 5.98	 0.00	11.53	 1.2936	 0.8414	       	       	no   	
204417450	16 08 08.46	-22 25 00.2	     	10.77	 5.11	 0.70	10.68	 9.1946	       	       	       	no   	EPIC 204417450
204054556	16 08 10.50	-23 51 02.4	 9.16	 7.83	 1.33	 0.32	 7.79	 1.0459	 0.6540	 1.0971	 1.0081	no   	EPIC 204054556
204397408	16 08 10.80	-22 29 43.1	     	11.68	 6.66	 0.35	11.63	 1.6454	       	       	       	yes  	EPIC 204397408
205164832	16 08 10.82	-19 04 47.9	     	 8.47	 3.19	 0.44	 8.41	 3.0522	       	       	       	no   	EPIC 205164832
204321428	16 08 13.99	-22 47 39.5	     	10.73	 5.75	 0.49	10.67	 1.5424	       	       	       	no   	EPIC 204321428
205152548	16 08 14.74	-19 08 32.4	11.40	 8.43	 2.98	 0.51	 8.36	10.4413	       	       	       	yes  	EPIC 205152548
204838119	16 08 15.34	-20 38 11.5	     	10.68	 5.81	 0.78	10.58	 3.9826	       	       	       	no   	EPIC 204838119
204801261	16 08 15.59	-20 48 02.4	     	 9.86	 5.55	 0.56	 9.79	 0.5499	       	       	       	no   	EPIC 204801261
204428864	16 08 15.65	-22 22 20.3	     	 9.95	 5.08	 0.30	 9.91	 3.6190	       	       	       	yes  	EPIC 204428864
203563853	16 08 16.92	-25 42 47.6	     	10.97	 5.49	 0.70	10.88	 0.9552	       	       	       	no   	
205177336	16 08 18.36	-19 00 59.7	     	10.23	 5.78	 0.59	10.15	 3.2443	       	       	       	no   	EPIC 205177336
204634894	16 08 20.77	-21 31 23.7	     	10.83	 5.79	 0.23	10.80	 1.9677	       	       	       	no   	EPIC 204634894
204451272	16 08 22.28	-22 17 03.2	     	12.03	 6.72	 0.60	11.95	 0.9726	       	       	       	no   	EPIC 204451272
205080360	16 08 22.34	-19 30 05.2	     	 9.06	 4.92	 0.70	 8.97	 2.3813	       	       	       	no   	EPIC 205080360
204118782	16 08 23.03	-23 35 29.6	     	 9.94	 5.15	 0.37	 9.89	 3.2406	       	       	       	no   	EPIC 204118782
204154736	16 08 23.09	-23 26 56.2	     	 9.59	 4.61	 0.40	 9.54	 7.3397	       	       	       	no   	
205080616	16 08 23.24	-19 30 00.9	     	 9.47	 4.76	 0.51	 9.40	 5.3676	 3.6810	       	       	yes  	EPIC 205080616
205142641	16 08 23.56	-19 11 31.8	     	 9.93	 5.59	 0.69	 9.84	 6.3291	       	       	       	no   	EPIC 205142641
205060410	16 08 23.87	-19 35 52.1	     	 9.25	 4.85	 0.63	 9.17	17.9258	       	       	       	no   	EPIC 205060410
204932100	16 08 25.10	-20 12 24.8	     	 9.87	 4.93	 0.01	 9.86	17.9856	       	       	       	no   	EPIC 204932100
204449389	16 08 27.33	-22 17 29.6	     	10.45	 6.32	 1.84	10.21	 1.8592	       	       	       	yes  	EPIC 204449389
204611292	16 08 28.68	-21 37 20.1	     	10.76	 6.00	 0.27	10.73	 1.7674	       	       	       	yes  	EPIC 204611292
204120066	16 08 30.48	-23 35 10.9	     	13.81	 8.70	 1.24	13.65	       	       	       	       	yes  	EPIC 204120066
205359167	16 08 31.38	-18 02 41.4	     	 8.90	 4.13	 0.30	 8.87	 9.3162	       	       	       	no   	EPIC 205359167
205141287	16 08 34.36	-19 11 56.2	11.73	 7.78	 3.95	 0.60	 7.71	 0.5461	 7.5879	 0.3429	       	no   	EPIC 205141287
204472612	16 08 34.54	-22 11 56.1	     	11.53	 6.49	 0.71	11.44	 1.9243	       	       	       	yes  	EPIC 204472612
204810792	16 08 35.14	-20 45 29.6	 8.35	 6.68	 1.67	 0.66	 6.59	 3.6922	 3.4646	       	       	no   	EPIC 204810792
205142340	16 08 35.77	-19 11 37.5	     	12.17	 7.06	 0.42	12.12	 1.3056	       	       	       	no   	
203833980	16 08 36.46	-24 45 30.6	     	10.73	 5.10	 0.32	10.69	 2.8203	       	       	       	no   	EPIC 203833980
205358744	16 08 36.58	-18 02 49.9	     	11.75	 7.87	 0.49	11.69	 1.3365	 0.4545	       	       	yes  	EPIC 205358744
204099739	16 08 39.08	-23 40 05.6	     	 9.15	 5.33	 0.42	 9.09	 0.7158	 0.7428	       	       	no   	EPIC 204099739
205192701	16 08 41.71	-18 56 10.7	     	11.21	 6.93	 0.72	11.12	 2.1986	 1.5705	       	       	no   	EPIC 205192701
205177770	16 08 43.07	-19 00 52.1	     	10.27	 6.05	 0.40	10.22	 1.1423	 0.9348	       	       	no   	EPIC 205177770
