Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
GJ9411,12:32:04.2265,-16:11:45.616,F2V,,4.69,4.31,4.192,17.96,GJ9411_harps_all-data_v1.dat,GJ9411_harps_all-data_v1.csv
GJ9415,12:40:46.2895,-43:33:58.996,M3V,,13.969000000000001,12.239,10.979000000000001,8.05,GJ9415_harps_all-data_v1.dat,GJ9415_harps_all-data_v1.csv
GJ9423,12:54:58.5416,-44:09:06.912,F9Vp,,6.53,5.89,5.722,38.48,GJ9423_harps_all-data_v1.dat,GJ9423_harps_all-data_v1.csv
GJ9429,13:08:51.0231,+05:12:26.064,G3IV+D,,7.47,,6.612,26.38,GJ9429_harps_all-data_v1.dat,GJ9429_harps_all-data_v1.csv
GJ9441,13:20:35.8173,-36:42:44.244,kA1.5hA3mA3Va,,2.76,2.73,2.6860000000000004,17.84,GJ9441_harps_all-data_v1.dat,GJ9441_harps_all-data_v1.csv
GJ9467,14:08:27.1622,-74:51:01.032,F9.5V,,6.6,6.02,5.861000000000001,29.32,GJ9467_harps_all-data_v1.dat,GJ9467_harps_all-data_v1.csv
GJ9472,14:13:31.1940,-06:57:32.338,M0V,4059.0,11.575,10.139,9.474,18.29,GJ9472_harps_all-data_v1.dat,GJ9472_harps_all-data_v1.csv
GJ9473,14:16:00.8695,-06:00:01.963,F7III,,4.6,4.08,3.8760000000000003,21.98,GJ9473_harps_all-data_v1.dat,GJ9473_harps_all-data_v1.csv
GJ9476,14:19:00.8956,-25:48:55.531,F9VFe-1.5CH-0.7,,6.37,5.87,5.718,18.0,GJ9476_harps_all-data_v1.dat,GJ9476_harps_all-data_v1.csv
GJ9479,14:21:23.1858,-40:23:38.217,K4Vk:,,10.13,9.03,8.656,28.22,GJ9479_harps_all-data_v1.dat,GJ9479_harps_all-data_v1.csv
GJ9481,14:28:12.1387,-02:13:40.648,G2IV,5830.0,5.522,4.84,4.596,37.2,GJ9481_harps_all-data_v1.dat,GJ9481_harps_all-data_v1.csv
GJ9482,14:29:18.5642,-46:27:49.735,K7Vk,4097.6,11.798,10.376,9.698,24.07,GJ9482_harps_all-data_v1.dat,GJ9482_harps_all-data_v1.csv
GJ9498,14:50:41.1746,-15:59:50.028,F3V,6577.3,5.57,5.16,5.0,23.37,GJ9498_harps_all-data_v1.dat,GJ9498_harps_all-data_v1.csv
GJ9507,15:00:43.4131,-11:08:06.466,K8Vk,,10.865,9.472000000000001,8.844,17.85,GJ9507_harps_all-data_v1.dat,GJ9507_harps_all-data_v1.csv
GJ9527,15:44:01.8189,+02:30:54.600,G2.5V,5698.3,,,5.678999999999999,14.77,GJ9527_harps_all-data_v1.dat,GJ9527_harps_all-data_v1.csv
GJ9536,16:10:15.0268,-84:13:53.813,G9IV-V,,8.47,7.69,7.513999999999999,34.31,GJ9536_harps_all-data_v1.dat,GJ9536_harps_all-data_v1.csv
GJ9547,16:11:49.4741,-52:54:55.414,K4,3662.5,11.66,10.5,10.052,44.91,GJ9547_harps_all-data_v1.dat,GJ9547_harps_all-data_v1.csv
GJ9563,16:33:27.0837,-78:53:49.737,G8III,4946.5,4.783,3.8539999999999996,3.52,45.94,GJ9563_harps_all-data_v1.dat,GJ9563_harps_all-data_v1.csv
GJ9565,16:32:57.8821,-12:35:30.208,M0,,11.96,10.61,10.006,31.71,GJ9565_harps_all-data_v1.dat,GJ9565_harps_all-data_v1.csv
GJ9583,17:05:16.8186,+00:42:09.217,F8.5IV-V,,6.59,,5.848,20.66,GJ9583_harps_all-data_v1.dat,GJ9583_harps_all-data_v1.csv
GJ9590,17:23:49.2273,-32:15:16.275,M1.5,,13.137,11.635,10.765999999999998,21.97,GJ9590_harps_all-data_v1.dat,GJ9590_harps_all-data_v1.csv
GJ9592,17:30:22.7281,+05:32:54.663,M1.0Ve,3895.0,10.79,9.433,8.53,10.12,GJ9592_harps_all-data_v1.dat,GJ9592_harps_all-data_v1.csv
GJ95,02:18:58.5046,-25:56:44.473,G8V,,7.07,6.34,6.131,12.83,GJ95_harps_all-data_v1.dat,GJ95_harps_all-data_v1.csv
GJ9626,18:20:59.6435,-29:49:41.165,K2.5IIIaCN0.5,4732.7,4.069,2.668,2.148,,GJ9626_harps_all-data_v1.dat,GJ9626_harps_all-data_v1.csv
GJ9630,18:37:12.8396,-25:40:16.563,G4V,,8.14,7.46,7.251,30.2,GJ9630_harps_all-data_v1.dat,GJ9630_harps_all-data_v1.csv
GJ9646,19:10:52.2685,-47:09:31.046,K6.5V,,10.672,9.342,8.791,20.78,GJ9646_harps_all-data_v1.dat,GJ9646_harps_all-data_v1.csv
GJ9655,19:24:34.2351,-22:03:43.835,K8Vk:,,12.262,10.899000000000001,10.267999999999999,27.63,GJ9655_harps_all-data_v1.dat,GJ9655_harps_all-data_v1.csv
GJ9659,19:30:52.7191,-06:30:51.925,G3V,5831.2,7.93,7.28,7.102,33.38,GJ9659_harps_all-data_v1.dat,GJ9659_harps_all-data_v1.csv
GJ9663,19:37:34.4131,-14:18:06.491,F7V,6299.5,5.938,5.4510000000000005,5.309,31.6,GJ9663_harps_all-data_v1.dat,GJ9663_harps_all-data_v1.csv
GJ9673,19:55:50.3625,-26:17:57.693,G5IV,5553.0,5.45,4.7,4.421,23.41,GJ9673_harps_all-data_v1.dat,GJ9673_harps_all-data_v1.csv
GJ9700,20:37:34.0320,-47:17:29.402,K0III-IV,4707.2,4.11,3.11,2.7239999999999998,29.14,GJ9700_harps_all-data_v1.dat,GJ9700_harps_all-data_v1.csv
GJ9714,21:01:39.1005,-32:31:28.121,K6Vk:,,10.588,9.326,8.838,20.52,GJ9714_harps_all-data_v1.dat,GJ9714_harps_all-data_v1.csv
GJ9732,21:20:09.7999,-67:39:05.631,M1.5V,,12.388,10.897,10.066,20.86,GJ9732_harps_all-data_v1.dat,GJ9732_harps_all-data_v1.csv
GJ9733,21:19:51.9907,-53:26:57.924,A5IV-V,8155.0,4.641,4.4830000000000005,4.417,29.47,GJ9733_harps_all-data_v1.dat,GJ9733_harps_all-data_v1.csv
GJ9762,21:54:45.3085,-46:59:33.841,M3V,,13.545,11.954,10.952,15.54,GJ9762_harps_all-data_v1.dat,GJ9762_harps_all-data_v1.csv
GJ9765,22:06:46.2950,-45:23:32.777,K2V,,9.28,8.43,8.193,30.0,GJ9765_harps_all-data_v1.dat,GJ9765_harps_all-data_v1.csv
GJ9771,22:10:11.9852,+06:11:52.307,A1Va,,3.62,3.55,3.4330000000000003,27.2,GJ9771_harps_all-data_v1.dat,GJ9771_harps_all-data_v1.csv
GJ9774,22:14:38.6533,-41:22:53.986,G2V,,6.88,6.23,6.045,,GJ9774_harps_all-data_v1.dat,GJ9774_harps_all-data_v1.csv
GJ9787,22:33:30.6851,-35:26:40.367,G8V,,8.52,7.8,7.621,33.55,GJ9787_harps_all-data_v1.dat,GJ9787_harps_all-data_v1.csv
GJ9789,22:34:41.6367,-20:42:29.574,F7V,,5.64,5.2,5.0760000000000005,22.95,GJ9789_harps_all-data_v1.dat,GJ9789_harps_all-data_v1.csv
GJ9790,22:36:07.7033,-54:36:38.232,G8VFe-1.3,,8.25,7.59,7.403,31.66,GJ9790_harps_all-data_v1.dat,GJ9790_harps_all-data_v1.csv
GJ9797,22:50:10.5269,-41:29:24.382,G9V,,8.51,7.77,7.575,28.53,GJ9797_harps_all-data_v1.dat,GJ9797_harps_all-data_v1.csv
GJ97,02:22:32.6034,-23:49:00.487,G0V,5908.0,5.8,5.19,4.9830000000000005,22.68,GJ97_harps_all-data_v1.dat,GJ97_harps_all-data_v1.csv
GJ9801,22:52:24.0744,+09:50:08.386,F6V,,5.64,,4.979,26.93,GJ9801_harps_all-data_v1.dat,GJ9801_harps_all-data_v1.csv
GJ9803,22:55:49.9774,-07:49:21.389,G6V,,8.65,8.01,7.837999999999999,36.06,GJ9803_harps_all-data_v1.dat,GJ9803_harps_all-data_v1.csv
GJ9824,23:23:04.8951,-10:45:51.278,K2V,,8.695,7.796,7.531000000000001,19.18,GJ9824_harps_all-data_v1.dat,GJ9824_harps_all-data_v1.csv
GJ9827,23:27:04.8376,-01:17:10.585,K6V,,11.57,10.1,9.838,29.69,GJ9827_harps_all-data_v1.dat,GJ9827_harps_all-data_v1.csv
GJ9828,23:29:34.4363,-47:02:09.698,K6+Vk:,4299.2,11.51,10.27,9.667,29.22,GJ9828_harps_all-data_v1.dat,GJ9828_harps_all-data_v1.csv
GJ9829,23:31:31.5028,-04:05:14.655,F7V,,7.03,6.49,6.346,25.96,GJ9829_harps_all-data_v1.dat,GJ9829_harps_all-data_v1.csv
GJ9833,23:39:51.3061,-32:44:36.265,G9.5V,,8.002,7.191,6.957999999999999,18.25,GJ9833_harps_all-data_v1.dat,GJ9833_harps_all-data_v1.csv
GJ9836,23:42:43.3447,-14:32:41.652,B9V,9423.3,4.448,4.484,4.421,48.58,GJ9836_harps_all-data_v1.dat,GJ9836_harps_all-data_v1.csv
GJ9847,00:01:25.8393,-16:56:54.387,K7.0V,,12.29,10.62,10.092,31.28,GJ9847_harps_all-data_v1.dat,GJ9847_harps_all-data_v1.csv
HATS-17,12:48:45.5453,-47:36:49.287,,5483.7,13.105,12.39,12.218,404.63,HATS-17_harps_all-data_v1.dat,HATS-17_harps_all-data_v1.csv
HATS-31,12:46:48.6784,-24:25:38.568,,5808.3,13.69,13.11,12.960999999999999,791.33,HATS-31_harps_all-data_v1.dat,HATS-31_harps_all-data_v1.csv
HD100069,11:31:00.6888,+09:37:12.492,G5,5877.7,8.64,7.99,7.821000000000001,89.74,HD100069_harps_all-data_v1.dat,HD100069_harps_all-data_v1.csv
HD10008,01:37:35.4668,-06:45:37.531,K0/1V,5303.0,8.459,7.656000000000001,7.446000000000001,24.04,HD10008_harps_all-data_v1.dat,HD10008_harps_all-data_v1.csv
HD100289,11:32:14.4386,-31:22:58.495,G8/K0V,5475.0,9.73,8.98,8.807,56.53,HD100289_harps_all-data_v1.dat,HD100289_harps_all-data_v1.csv
HD100363,11:32:51.5731,-12:02:06.465,F8V,7133.2,8.89,8.65,8.551,175.17,HD100363_harps_all-data_v1.dat,HD100363_harps_all-data_v1.csv
HD100407,11:33:00.1150,-31:51:27.443,G7IIIb,4817.5,4.47,3.54,3.179,34.95,HD100407_harps_all-data_v1.dat,HD100407_harps_all-data_v1.csv
HD10042,01:33:39.1716,-78:30:17.351,K0III,4942.8,7.077000000000001,6.103,5.836,117.9,HD10042_harps_all-data_v1.dat,HD10042_harps_all-data_v1.csv
HD100508,11:33:13.0901,-67:03:16.497,K1IV,,8.57,7.74,7.525,32.79,HD100508_harps_all-data_v1.dat,HD100508_harps_all-data_v1.csv
HD100655,11:35:03.7529,+20:26:29.563,G9III,4891.0,7.468,6.438,6.172999999999999,137.72,HD100655_harps_all-data_v1.dat,HD100655_harps_all-data_v1.csv
HD10069,01:37:25.0335,-45:40:40.376,F6IV/V,6462.0,9.74,9.3,9.166,123.92,HD10069_harps_all-data_v1.dat,HD10069_harps_all-data_v1.csv
HD100777,11:35:51.5230,-04:45:20.501,G8V,5532.5,9.19,8.42,8.238999999999999,49.6,HD100777_harps_all-data_v1.dat,HD100777_harps_all-data_v1.csv
HD100889,11:36:40.9133,-09:48:08.091,B9.5V,9664.5,4.604,4.673,4.635,88.84,HD100889_harps_all-data_v1.dat,HD100889_harps_all-data_v1.csv
HD101063,11:37:40.4030,-28:51:04.855,K5/M0III,,10.21,9.45,9.206,246.42,HD101063_harps_all-data_v1.dat,HD101063_harps_all-data_v1.csv
HD101065,11:37:37.0411,-46:42:34.875,F8/G0p,6038.0,8.79,8.03,7.9239999999999995,108.79,HD101065_harps_all-data_v1.dat,HD101065_harps_all-data_v1.csv
HD101197,11:38:38.1985,-11:14:21.254,G3V,5769.8,9.38,8.75,8.57,92.03,HD101197_harps_all-data_v1.dat,HD101197_harps_all-data_v1.csv
HD101339,11:39:39.7980,-04:59:04.092,G5V,5748.5,9.492,8.81,8.667,59.8,HD101339_harps_all-data_v1.dat,HD101339_harps_all-data_v1.csv
HD101348,11:39:36.6007,-35:13:57.227,G2V,5701.3,8.54,7.82,7.646,79.34,HD101348_harps_all-data_v1.dat,HD101348_harps_all-data_v1.csv
HD101367,11:39:55.9448,-04:57:38.937,G6/8IV,5603.0,9.31,8.6,8.4,58.33,HD101367_harps_all-data_v1.dat,HD101367_harps_all-data_v1.csv
HD101412,11:39:44.4562,-60:10:27.717,A3VaekA0mA0_lB,7840.0,9.465,9.288,9.207,411.39,HD101412_harps_all-data_v1.dat,HD101412_harps_all-data_v1.csv
HD101612,11:41:22.4786,-26:40:01.886,F5/6V,6223.9,8.01,7.54,7.402,50.48,HD101612_harps_all-data_v1.dat,HD101612_harps_all-data_v1.csv
HD101615,11:41:19.7915,-43:05:44.392,A0V,9388.0,5.57,5.53,5.519,64.3,HD101615_harps_all-data_v1.dat,HD101615_harps_all-data_v1.csv
HD101644,11:41:45.0515,-06:41:04.289,G5V,5831.2,9.93,9.25,9.094,61.77,HD101644_harps_all-data_v1.dat,HD101644_harps_all-data_v1.csv
HD101650,11:41:40.2284,-23:11:56.788,K3/5(V),3568.3,11.65,10.51,10.133,42.14,HD101650_harps_all-data_v1.dat,HD101650_harps_all-data_v1.csv
HD10180,01:37:53.5773,-60:30:41.485,G1V,5891.0,7.95,7.32,7.172999999999999,39.0,HD10180_harps_all-data_v1.dat,HD10180_harps_all-data_v1.csv
HD101886,11:43:19.0357,-51:49:08.834,K1III,4821.3,9.57,8.44,8.161,531.58,HD101886_harps_all-data_v1.dat,HD101886_harps_all-data_v1.csv
HD10188,01:39:01.9582,-33:28:05.276,G5V(CNIV),5778.0,9.61,8.9,8.773,109.06,HD10188_harps_all-data_v1.dat,HD10188_harps_all-data_v1.csv
HD101930,11:43:30.1133,-58:00:24.776,K2V+,5095.6,9.12,8.21,7.9670000000000005,30.05,HD101930_harps_all-data_v1.dat,HD101930_harps_all-data_v1.csv
HD102117,11:44:50.4608,-58:42:13.356,G6V,5630.0,8.2,7.45,7.282,39.62,HD102117_harps_all-data_v1.dat,HD102117_harps_all-data_v1.csv
HD102124,11:45:17.0402,+08:15:29.215,A4V,7862.2,5.003,4.842,4.77,36.22,HD102124_harps_all-data_v1.dat,HD102124_harps_all-data_v1.csv
HD102188,11:45:17.3064,-57:34:29.209,G5V,5628.3,10.16,9.43,9.234,90.21,HD102188_harps_all-data_v1.dat,HD102188_harps_all-data_v1.csv
HD102195,11:45:42.2927,+02:49:17.326,K0V,5300.0,,,7.847,29.36,HD102195_harps_all-data_v1.dat,HD102195_harps_all-data_v1.csv
HD102196,11:45:38.4605,-16:04:41.182,G2V,6059.0,8.71,8.12,8.011000000000001,101.39,HD102196_harps_all-data_v1.dat,HD102196_harps_all-data_v1.csv
HD102200,11:45:34.2344,-46:03:46.386,F2V,6126.7,9.13,8.76,8.591000000000001,72.24,HD102200_harps_all-data_v1.dat,HD102200_harps_all-data_v1.csv
HD102272,11:46:23.5354,+14:07:26.353,K2,4807.0,9.71,8.71,8.405,350.0,HD102272_harps_all-data_v1.dat,HD102272_harps_all-data_v1.csv
HD102300,11:46:27.5403,-24:58:34.473,F7V,6004.9,8.26,7.69,7.53,58.79,HD102300_harps_all-data_v1.dat,HD102300_harps_all-data_v1.csv
HD102346,11:46:42.3540,-19:28:11.150,F8V,3604.0,8.69,8.14,8.008,56.96,HD102346_harps_all-data_v1.dat,HD102346_harps_all-data_v1.csv
HD102361,11:46:48.9492,-21:28:29.663,F8V,6012.8,8.72,8.15,8.022,78.1,HD102361_harps_all-data_v1.dat,HD102361_harps_all-data_v1.csv
HD102458,11:47:24.5436,-49:53:03.018,G4V,5899.7,9.7,9.07,8.895,113.4,HD102458_harps_all-data_v1.dat,HD102458_harps_all-data_v1.csv
HD10278,01:40:22.4512,-10:26:40.055,G6/8V,5680.0,9.86,9.15,8.962,65.83,HD10278_harps_all-data_v1.dat,HD10278_harps_all-data_v1.csv
HD102843,11:50:20.9304,-01:15:08.843,K0V,,9.982999999999999,9.244,9.049,62.87,HD102843_harps_all-data_v1.dat,HD102843_harps_all-data_v1.csv
HD103197,11:52:52.9782,-50:17:34.159,K1V(p),5135.7,10.31,9.39,9.164,57.24,HD103197_harps_all-data_v1.dat,HD103197_harps_all-data_v1.csv
HD103234,11:53:08.0084,-56:43:38.097,F2IV/V,6556.1,8.65,8.25,8.149,102.13,HD103234_harps_all-data_v1.dat,HD103234_harps_all-data_v1.csv
HD10337,01:41:06.6756,+03:42:50.028,G8V,5612.0,,,7.907,41.85,HD10337_harps_all-data_v1.dat,HD10337_harps_all-data_v1.csv
HD103589,11:55:28.8644,-62:11:47.119,F2IV/V,6692.0,8.26,7.86,7.752000000000001,114.89,HD103589_harps_all-data_v1.dat,HD103589_harps_all-data_v1.csv
HD103720,11:56:41.1855,-02:46:44.235,K1IV/V,5017.0,10.44,9.49,9.224,45.6,HD103720_harps_all-data_v1.dat,HD103720_harps_all-data_v1.csv
HD103743,11:56:43.7784,-32:16:02.692,G4V,5095.6,8.48,7.81,7.64,35.53,HD103743_harps_all-data_v1.dat,HD103743_harps_all-data_v1.csv
HD103774,11:56:55.5894,-12:06:28.470,F6V,6350.4,7.61,7.12,7.0089999999999995,56.5,HD103774_harps_all-data_v1.dat,HD103774_harps_all-data_v1.csv
HD10380,01:41:25.8939,+05:29:15.406,K3III,4203.3,5.81,4.44,3.89,106.74,HD10380_harps_all-data_v1.dat,HD10380_harps_all-data_v1.csv
HD103847,11:57:28.9320,+19:59:02.050,K0,,8.91,,7.831,27.85,HD103847_harps_all-data_v1.dat,HD103847_harps_all-data_v1.csv
HD103891,11:57:45.3028,-08:32:55.365,F8V,5989.6,9.078,8.646,6.432,55.6,HD103891_harps_all-data_v1.dat,HD103891_harps_all-data_v1.csv
HD103949,11:58:11.7047,-23:55:25.995,K3V,4792.2,9.74,8.72,8.385,26.52,HD103949_harps_all-data_v1.dat,HD103949_harps_all-data_v1.csv
HD104006,11:58:28.0119,-41:55:19.232,K0.5V,,9.74,8.91,8.661,32.75,HD104006_harps_all-data_v1.dat,HD104006_harps_all-data_v1.csv
HD104067,11:59:10.0086,-20:21:13.610,K2V,,8.897,7.921,7.62,20.38,HD104067_harps_all-data_v1.dat,HD104067_harps_all-data_v1.csv
HD1040,00:14:39.0858,-39:47:39.400,G3V,5853.0,9.83,9.17,9.027000000000001,82.11,HD1040_harps_all-data_v1.dat,HD1040_harps_all-data_v1.csv
HD104181,11:59:56.9127,+03:39:18.744,A0V,9507.5,5.346,5.345,5.325,89.83,HD104181_harps_all-data_v1.dat,HD104181_harps_all-data_v1.csv
HD104263,12:00:27.4567,-04:32:55.711,G8/K0V,5467.0,8.97,8.23,8.03,42.05,HD104263_harps_all-data_v1.dat,HD104263_harps_all-data_v1.csv
HD10472,01:40:24.0660,-60:59:56.623,F2IV/V,6697.8,8.01,7.61,7.516,71.15,HD10472_harps_all-data_v1.dat,HD10472_harps_all-data_v1.csv
HD104760,12:03:46.2944,-44:07:22.103,G2/3III,5840.5,8.68,8.07,7.903,53.09,HD104760_harps_all-data_v1.dat,HD104760_harps_all-data_v1.csv
HD104800,12:04:05.5627,+03:20:26.708,G3V,,9.8,,9.057,72.09,HD104800_harps_all-data_v1.dat,HD104800_harps_all-data_v1.csv
HD104819,12:04:10.9364,-22:22:15.830,K2III,4838.8,9.09,7.91,7.603,124.41,HD104819_harps_all-data_v1.dat,HD104819_harps_all-data_v1.csv
HD104982,12:05:13.4084,-28:43:02.026,G2V,,8.47,7.82,7.609,36.29,HD104982_harps_all-data_v1.dat,HD104982_harps_all-data_v1.csv
HD105575,12:09:20.8150,-27:58:55.925,K2V(e),4922.6,11.2,9.089,8.802999999999999,,HD105575_harps_all-data_v1.dat,HD105575_harps_all-data_v1.csv
HD105665,12:09:58.0877,-13:26:07.781,G0/1V,6034.7,8.85,8.32,8.191,81.96,HD105665_harps_all-data_v1.dat,HD105665_harps_all-data_v1.csv
HD105690,12:10:06.4713,-49:10:50.656,G5V,5562.5,8.86,8.199,7.981,37.76,HD105690_harps_all-data_v1.dat,HD105690_harps_all-data_v1.csv
HD105707,12:10:07.4805,-22:37:11.161,K2+IIIa,4710.0,4.32,2.98,2.458,79.99,HD105707_harps_all-data_v1.dat,HD105707_harps_all-data_v1.csv
HD105779,12:10:38.9439,-16:57:22.645,G3V,5812.0,9.27,8.64,8.49,55.33,HD105779_harps_all-data_v1.dat,HD105779_harps_all-data_v1.csv
HD105837,12:10:57.9328,-46:19:19.136,G0VFe-0.9,5890.8,8.072000000000001,7.523,7.369,35.83,HD105837_harps_all-data_v1.dat,HD105837_harps_all-data_v1.csv
HD105850,12:11:03.8398,-23:36:08.722,A1V,9113.0,5.52,5.47,5.419,58.81,HD105850_harps_all-data_v1.dat,HD105850_harps_all-data_v1.csv
HD105938,12:11:38.1119,-54:25:03.491,F7V,6149.5,7.34,6.79,6.651,54.88,HD105938_harps_all-data_v1.dat,HD105938_harps_all-data_v1.csv
HD105,00:05:52.5449,-41:45:11.046,G0V,5940.0,8.13,7.53,7.382999999999999,38.85,HD105_harps_all-data_v1.dat,HD105_harps_all-data_v1.csv
HD10615,01:41:47.9681,-60:47:21.618,K2/3III,4365.0,6.9510000000000005,5.692,5.292000000000001,118.32,HD10615_harps_all-data_v1.dat,HD10615_harps_all-data_v1.csv
HD106275,12:13:51.8542,-69:03:37.632,K2V,5030.0,9.55,8.65,8.37,32.05,HD106275_harps_all-data_v1.dat,HD106275_harps_all-data_v1.csv
HD106290,12:13:52.7742,-55:12:26.635,G1V,5951.5,9.06,8.42,8.286,62.13,HD106290_harps_all-data_v1.dat,HD106290_harps_all-data_v1.csv
HD106315,12:13:53.3965,-00:23:36.554,F5V,6439.5,9.402000000000001,8.951,8.888,109.69,HD106315_harps_all-data_v1.dat,HD106315_harps_all-data_v1.csv
HD106444,12:14:50.7229,-55:47:23.526,F5V,6521.4,8.94,8.155,8.32,114.85,HD106444_harps_all-data_v1.dat,HD106444_harps_all-data_v1.csv
HD10647,01:42:29.3148,-53:44:26.991,F9V,6143.0,6.05,5.52,5.355,17.34,HD10647_harps_all-data_v1.dat,HD10647_harps_all-data_v1.csv
HD106589,12:15:36.6678,-48:24:58.313,G5V,,9.61,8.93,8.767000000000001,61.3,HD106589_harps_all-data_v1.dat,HD106589_harps_all-data_v1.csv
HD106661,12:16:00.1863,+14:53:56.651,A3V,8729.0,5.15,5.09,5.0489999999999995,64.99,HD106661_harps_all-data_v1.dat,HD106661_harps_all-data_v1.csv
HD106906,12:17:53.1914,-55:58:31.890,F5V,6484.1,8.21,7.81,7.686,103.33,HD106906_harps_all-data_v1.dat,HD106906_harps_all-data_v1.csv
HD106937,12:17:56.8761,-35:49:54.173,G6/8V,5506.2,9.25,8.48,8.302,81.97,HD106937_harps_all-data_v1.dat,HD106937_harps_all-data_v1.csv
HD10700,01:44:04.0834,-15:56:14.926,G8V,,4.22,3.5,3.134,3.6,HD10700_harps_all-data_v1.dat,HD10700_harps_all-data_v1.csv
HD107148,12:19:13.4912,-03:19:11.239,G5V,5761.3,8.72,8.02,7.851,49.49,HD107148_harps_all-data_v1.dat,HD107148_harps_all-data_v1.csv
HD107181,12:19:27.3390,-26:06:26.552,G3V,5571.3,9.15,8.4,8.246,79.7,HD107181_harps_all-data_v1.dat,HD107181_harps_all-data_v1.csv
HD107383,12:20:43.0255,+17:47:34.339,G8+IIIFe-1,4755.0,5.74,4.74,4.372,93.37,HD107383_harps_all-data_v1.dat,HD107383_harps_all-data_v1.csv
HD10761,01:45:23.6253,+09:09:27.912,G8III,4998.0,5.22,4.26,3.9339999999999997,76.33,HD10761_harps_all-data_v1.dat,HD10761_harps_all-data_v1.csv
HD108063,12:25:08.5177,-42:30:51.524,G5III+F/G,5883.2,6.749,6.093999999999999,5.944,52.63,HD108063_harps_all-data_v1.dat,HD108063_harps_all-data_v1.csv
HD108147,12:25:46.2670,-64:01:19.515,F8/G0V,6202.8,7.532,6.994,6.853,38.96,HD108147_harps_all-data_v1.dat,HD108147_harps_all-data_v1.csv
HD108177,12:25:34.9568,+01:17:02.259,F0V,,10.09,9.66,9.519,107.38,HD108177_harps_all-data_v1.dat,HD108177_harps_all-data_v1.csv
HD108202,12:25:51.0370,-01:06:38.124,K4/5V,,11.47,10.22,9.783,38.73,HD108202_harps_all-data_v1.dat,HD108202_harps_all-data_v1.csv
HD108309,12:26:48.1415,-48:54:47.499,G2V,,6.94,6.26,6.074,26.84,HD108309_harps_all-data_v1.dat,HD108309_harps_all-data_v1.csv
HD10830,01:45:38.7571,-25:03:09.402,F1V+K1V,6695.0,5.7,5.31,,27.93,HD10830_harps_all-data_v1.dat,HD10830_harps_all-data_v1.csv
HD108341,12:27:31.3930,-71:25:22.732,K2V,5086.0,10.29,9.36,9.142999999999999,48.98,HD108341_harps_all-data_v1.dat,HD108341_harps_all-data_v1.csv
HD108564,12:28:19.1206,-16:54:39.776,K5Vmetalweak,,10.43,9.502,9.107999999999999,27.27,HD108564_harps_all-data_v1.dat,HD108564_harps_all-data_v1.csv
HD108570,12:28:33.5941,-56:24:28.141,K0/1III,,7.07,6.13,5.881,42.68,HD108570_harps_all-data_v1.dat,HD108570_harps_all-data_v1.csv
HD108767B,12:29:50.8907,-16:31:15.206,K1,4991.0,9.38,8.43,8.167,26.7,HD108767B_harps_all-data_v1.dat,HD108767B_harps_all-data_v1.csv
HD108767,12:29:51.8551,-16:30:55.552,A0IV(n)kB9,4732.7,2.89,2.94,2.983,25.98,HD108767_harps_all-data_v1.dat,HD108767_harps_all-data_v1.csv
HD108768,12:29:55.4833,-26:25:13.996,G6V,5584.0,9.62,8.86,8.72,58.29,HD108768_harps_all-data_v1.dat,HD108768_harps_all-data_v1.csv
HD108857,12:30:46.2748,-58:11:16.781,F7V,5827.0,9.12,8.6,8.427999999999999,104.52,HD108857_harps_all-data_v1.dat,HD108857_harps_all-data_v1.csv
HD108935,12:31:17.7152,-43:23:04.076,K4V,,10.889000000000001,9.927999999999999,9.402999999999999,38.99,HD108935_harps_all-data_v1.dat,HD108935_harps_all-data_v1.csv
HD108953,12:31:35.5011,-59:12:28.688,G8/K0IV/V,5426.6,9.99,9.19,9.066,70.37,HD108953_harps_all-data_v1.dat,HD108953_harps_all-data_v1.csv
HD10895,01:46:00.1328,-43:54:48.079,G3V,5687.0,9.35,8.69,8.538,49.03,HD10895_harps_all-data_v1.dat,HD10895_harps_all-data_v1.csv
HD109098,12:32:04.4496,-01:46:20.487,G3/5V,5923.2,7.94,7.31,7.149,57.38,HD109098_harps_all-data_v1.dat,HD109098_harps_all-data_v1.csv
HD109138,12:33:29.7897,-75:23:11.249,K0V,5484.6,10.24,9.47,9.307,64.31,HD109138_harps_all-data_v1.dat,HD109138_harps_all-data_v1.csv
HD109271,12:33:35.5542,-11:37:18.727,G3/5V,5748.4,8.71,8.05,7.877999999999999,55.96,HD109271_harps_all-data_v1.dat,HD109271_harps_all-data_v1.csv
HD109310,12:33:49.0623,-23:30:56.697,G1V,5941.3,8.9,8.35,8.218,53.37,HD109310_harps_all-data_v1.dat,HD109310_harps_all-data_v1.csv
HD109379,12:34:23.2348,-23:23:48.337,G5IIBa0.3,4732.7,3.52,2.64,2.251,50.0,HD109379_harps_all-data_v1.dat,HD109379_harps_all-data_v1.csv
HD109408,12:34:41.6935,-42:54:58.551,F2V,6555.1,10.73,10.37,10.218,245.36,HD109408_harps_all-data_v1.dat,HD109408_harps_all-data_v1.csv
HD109409,12:34:42.3936,-44:40:22.868,G3IV,5826.0,6.47,5.77,5.59,28.49,HD109409_harps_all-data_v1.dat,HD109409_harps_all-data_v1.csv
