#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
125	 119.00	 -35.44	 11.162	 10.095	  8.206	  7.709	  7.600	  9.729	21.02	 5.46	35.73	27.99	-0.93	  0.83	M	Simbad	060.912660	+19.455008
126	 141.80	 -98.20	  7.810	  7.130	  5.817	  5.475	  5.397	       	24.78	18.53	31.17	32.99	 0.21	  1.24	M	Simbad	061.029558	+39.509716
127	 135.37	 -26.10	       	       	 12.779	 12.203	 11.859	 17.192	23.83	 6.29	36.17	27.42	-0.37	  0.13	M	Simbad	061.044841	+15.806078
128	 113.25	 -30.53	       	       	 11.918	 11.338	 11.063	 16.015	19.97	 6.41	35.85	27.84	-0.43	  0.22	M	Simbad	061.053368	+18.995712
129	 122.92	 -37.37	       	       	 11.210	 10.594	 10.325	 15.305	21.72	 5.47	35.69	28.04	-0.45	  0.29	M	Simbad	061.112650	+20.408457
130	 104.62	 -87.70	       	       	 12.616	 12.004	 11.719	 16.827	19.58	20.33	31.22	32.95	-2.66	  0.16	M	Simbad	061.241224	+39.602131
131	 129.03	 -65.29	       	       	 11.863	 11.324	 11.036	 15.766	22.92	11.03	34.14	29.90	-0.36	  0.19	M	Simbad	061.282503	+29.285481
132	  89.47	 -55.97	       	       	 12.416	 11.759	 11.514	 16.067	15.46	27.52	31.85	32.33	 1.07	  0.23	M	Simbad	061.307649	+37.711464
133	 122.62	 -28.44	 12.750	 11.400	  8.889	  8.259	  8.107	 10.851	21.50	 4.95	35.93	27.74	 0.92	  0.68	M	Simbad	061.356962	+19.442162
134	 126.05	 -28.09	 10.190	  9.291	  7.748	  7.365	  7.254	       	22.28	 4.66	36.13	27.47	 0.25	  0.89	M	Simbad	061.415306	+17.937710
135	 139.44	 -75.62	       	       	 10.837	 10.210	  9.954	 14.459	23.04	17.44	31.73	32.45	 3.43	  0.33	M	Simbad	061.436772	+38.248115
136	 142.24	 -32.04	       	       	  9.488	  8.820	  8.598	 12.225	25.16	 7.80	36.14	27.46	 0.41	  0.53	M	Simbad	061.509349	+18.250895
137	 118.45	 -20.70	  8.442	  7.828	  6.753	  6.532	  6.446	       	21.04	 4.59	36.41	27.10	 0.16	  1.17	M	Simbad	061.567198	+15.698117
138	 115.34	 -28.53	       	       	 11.341	 10.756	 10.471	 15.473	20.45	 5.41	36.08	27.54	 0.33	  0.29	M	Simbad	061.586000	+19.027496
139	 113.06	 -13.57	       	       	  9.982	  9.258	  9.091	 12.997	20.11	 6.16	36.60	26.84	 0.27	  0.53	M	Simbad	061.644306	+13.549076
140	 126.04	 -20.70	 11.670	 10.473	  8.365	  7.811	  7.665	 10.034	22.47	 4.60	36.53	26.94	 0.25	  0.77	M	Simbad	061.755111	+15.335027
141	 165.48	 -45.49	       	       	 11.450	 10.858	 10.556	 15.583	29.42	13.07	36.00	27.65	 0.44	  0.18	M	Simbad	061.763521	+20.280816
142	  77.97	  -9.73	       	       	 13.092	 12.515	 12.200	 17.520	14.01	25.98	36.79	26.59	-0.68	  0.18	M	Simbad	061.891548	+12.188090
143	 127.73	 -23.86	  6.452	  6.043	  5.244	  5.055	  5.030	       	22.96	 4.94	36.62	26.82	-0.40	  1.56	M	Simbad	061.924931	+15.162785
144	 123.86	 -25.56	 10.934	  9.924	  8.105	  7.599	  7.511	  9.564	22.22	 4.18	36.50	26.98	-0.06	  0.82	M	Simbad	061.929999	+16.518788
145	 133.21	 -23.02	       	       	  8.766	  8.106	  7.933	 10.944	23.76	 5.65	36.52	26.95	 1.06	  0.67	M	Simbad	062.046224	+16.873084
146	 100.04	  -5.85	  9.653	  8.736	  7.185	  6.749	  6.645	       	17.83	11.04	36.80	26.57	 1.96	  1.07	M	Simbad	062.077042	+13.523875
147	 115.99	 -12.97	 12.599	 11.269	  8.818	  8.171	  8.046	 10.785	20.92	 5.63	36.89	26.45	-0.30	  0.71	M	Simbad	062.111106	+12.191841
148	 119.96	 -45.66	 10.395	  9.419	  7.840	  7.441	  7.323	  9.189	21.63	 6.82	35.62	28.13	-0.01	  0.89	M	Simbad	062.150875	+23.768604
149	 117.90	 -46.88	       	       	  9.380	  8.792	  8.529	 12.339	21.42	 6.71	35.67	28.07	-0.54	  0.61	M	Simbad	062.167401	+23.557117
150	  83.60	 -40.06	  8.914	  8.240	  7.125	  6.856	  6.768	       	14.92	24.35	34.55	29.44	 0.69	  1.24	M	Simbad	062.226531	+29.190663
151	  83.18	  -9.75	 11.864	 10.894	  8.964	  8.498	  8.388	 10.518	15.07	22.15	37.08	26.17	-3.03	  0.81	M	Simbad	062.333865	+08.128807
152	 155.78	  -2.77	 11.291	 10.101	  7.912	  7.340	  7.264	  9.631	28.29	12.57	37.13	26.11	 0.34	  0.75	M	Simbad	062.455624	+09.305498
153	 155.47	 -33.08	       	       	 12.085	 11.464	 11.154	 16.908	28.30	11.44	36.76	26.62	-0.17	  0.14	M	Simbad	062.487983	+16.378255
154	 118.12	 -15.57	       	       	 12.388	 11.795	 11.421	 16.974	21.45	 3.83	36.98	26.32	 0.91	  0.17	M	Simbad	062.669977	+14.733597
155	 123.34	 -31.39	  7.017	  6.589	  5.795	  5.625	  5.572	       	22.51	 4.07	36.63	26.81	 0.10	  1.41	M	Simbad	062.676517	+18.423253
156	 149.81	 -79.18	       	       	  9.313	  8.612	  8.471	 11.513	26.45	14.85	33.78	30.32	 1.73	  0.53	M	Simbad	062.680610	+32.934700
157	 115.12	 -62.68	       	       	 10.594	 10.018	  9.750	 14.391	21.60	 9.29	35.14	28.73	-1.50	  0.39	M	Simbad	062.736544	+27.487565
158	 110.08	 -31.31	       	       	 11.145	 10.573	 10.292	 14.957	20.22	 5.01	36.61	26.83	-0.30	  0.32	M	Simbad	062.775546	+18.929108
159	 146.55	   5.83	  6.079	  5.702	  5.062	  4.995	  4.821	       	26.83	12.53	37.27	25.90	-0.60	  1.56	M	Simbad	062.834507	+05.523049
160	 121.00	 -19.24	       	       	 10.807	 10.236	  9.941	 14.628	22.03	 3.43	36.96	26.35	 1.05	  0.35	M	Simbad	062.865181	+15.992146
161	 137.72	 -56.36	 10.470	  9.392	  7.148	  6.563	  6.409	       	25.51	 9.24	35.99	27.65	-0.44	  1.05	M	Simbad	062.984257	+23.636323
162	 135.81	 -44.47	       	       	 11.732	 11.149	 10.885	 15.902	25.05	 7.69	36.45	27.04	-0.12	  0.18	M	Simbad	063.014002	+20.831320
163	 127.91	 -33.60	       	       	 10.275	  9.690	  9.414	 14.165	23.68	 5.14	36.87	26.47	-0.49	  0.41	M	Simbad	063.031702	+17.626141
164	 121.90	  48.39	       	       	 11.720	 11.170	 10.911	 15.670	23.27	14.89	36.89	26.45	 3.74	  0.20	M	Simbad	063.057356	-01.565212
165	 149.79	 -31.46	       	       	  9.736	  9.095	  8.867	 13.450	27.65	10.54	37.03	26.24	-0.02	  0.45	M	Simbad	063.090549	+16.250938
166	 118.27	 -45.80	       	       	 11.061	 10.497	 10.165	 15.079	22.05	 5.50	36.29	27.26	-0.56	  0.31	M	Simbad	063.197333	+22.390832
167	 138.58	  -5.97	       	       	 12.129	 11.495	 11.234	 16.456	25.57	 8.75	37.41	25.70	 1.03	  0.15	M	Simbad	063.208026	+11.246238
168	 129.51	  28.14	       	       	 10.943	 10.396	 10.123	 14.635	23.12	17.62	36.48	27.01	-3.00	  0.30	M	Simbad	063.229160	-05.301289
169	 120.55	 -21.09	       	       	 11.303	 10.732	 10.444	 15.372	22.31	 3.49	37.20	26.01	 0.27	  0.27	M	Simbad	063.273378	+15.247777
170	 122.76	 -27.21	       	       	 10.541	  9.975	  9.700	 14.353	23.00	 4.10	37.27	25.90	-0.78	  0.38	M	Simbad	063.468163	+15.365003
171	 133.19	  -9.27	       	       	 12.165	 11.616	 11.347	 16.230	24.18	 5.68	37.24	25.95	 3.40	  0.15	M	Simbad	063.475737	+15.835782
172	 106.63	 -19.78	  9.170	  8.441	  7.216	  6.916	  6.825	       	19.98	 4.99	37.39	25.73	-0.32	  1.07	M	Simbad	063.606878	+14.625035
173	  88.12	  13.18	 10.310	  9.452	  7.934	  7.520	  7.425	  9.183	16.57	17.87	37.61	25.42	 1.96	  1.03	M	Simbad	063.610157	+05.180571
174	 116.40	 -11.76	  8.698	  8.054	  6.856	  6.607	  6.534	       	21.73	 4.40	37.54	25.52	 0.38	  1.11	M	Simbad	063.613564	+12.435318
175	 107.54	 -37.48	       	       	 10.294	  9.711	  9.427	 13.932	20.48	 4.07	36.99	26.30	-1.69	  0.47	M	Simbad	063.624307	+18.730024
176	  96.24	 -33.70	  7.494	  7.045	  6.207	  6.082	  6.005	       	17.87	11.27	36.46	27.04	 0.53	  1.43	M	Simbad	063.626754	+22.451865
177	 122.54	 -48.72	  8.729	  8.056	  6.877	  6.599	  6.516	       	22.91	 6.53	36.27	27.29	 0.07	  1.09	M	Simbad	063.634651	+23.574944
178	 118.63	  -7.88	  7.625	  7.103	  6.128	  5.915	  5.862	       	22.19	 5.63	37.62	25.39	 0.13	  1.30	M	Simbad	063.643085	+10.701381
179	  93.59	 -37.29	       	       	 11.882	 11.259	 10.984	 16.044	18.05	 9.73	36.98	26.32	-2.63	  0.26	M	Simbad	063.688414	+19.063959
180	 104.74	 -45.11	       	       	 12.479	 11.903	 11.593	 16.892	19.70	 8.30	36.15	27.44	-0.21	  0.17	M	Simbad	063.709254	+24.377064
181	 112.83	 -18.61	 11.890	 10.681	  8.445	  7.828	  7.688	 10.214	21.25	 4.07	37.55	25.50	-0.80	  0.80	M	Simbad	063.716384	+13.054954
182	 233.98	-119.11	       	       	  8.763	  8.146	  7.901	 12.159	43.94	24.45	35.47	28.32	-0.08	  0.44	M	Simbad	063.723017	+27.757764
183	 124.90	  42.79	       	       	  8.903	  8.261	  8.004	 11.068	22.00	22.56	35.57	28.20	-3.75	  0.70	M	Simbad	063.779792	-11.537645
184	 119.67	 -15.19	 12.920	 11.585	  8.947	  8.294	  8.128	 10.960	22.33	 3.50	37.49	25.59	 1.04	  0.66	M	Simbad	063.793383	+14.398462
185	 130.36	 -42.12	       	       	 11.960	 11.336	 11.008	 16.609	24.47	 6.70	36.82	26.54	 0.27	  0.18	M	Simbad	063.885714	+20.807594
186	 121.33	 -21.97	 12.135	 10.931	  8.558	  7.982	  7.853	 10.432	22.75	 3.49	37.42	25.68	 0.55	  0.72	M	Simbad	063.890368	+15.706270
187	 213.01	 -47.32	       	       	 10.787	 10.215	  9.911	 14.937	39.21	20.99	36.99	26.30	 2.01	  0.19	M	Simbad	063.893755	+19.599904
188	 106.45	 -27.85	       	       	 11.050	 10.472	 10.215	 14.736	20.19	 4.11	37.33	25.83	-0.76	  0.34	M	Simbad	063.895177	+16.762392
189	 110.26	 -36.43	  8.533	  7.819	  6.537	  6.257	  6.190	       	20.76	 4.59	36.83	26.52	 0.12	  1.18	M	Simbad	063.926822	+20.819794
190	 115.78	 -21.72	  6.719	  6.297	  5.514	  5.401	  5.326	       	21.80	 2.71	37.47	25.61	 0.20	  1.52	M	Simbad	063.942852	+15.400696
191	 135.62	-134.19	       	       	 11.583	 11.049	 10.752	 15.561	26.19	23.33	29.47	34.52	-0.81	  0.19	M	Simbad	063.988213	+46.726665
192	 117.32	 -36.91	       	       	 10.806	 10.196	  9.916	 14.449	22.55	 3.07	37.35	25.79	-1.85	  0.34	M	Simbad	064.006037	+16.983104
193	 113.78	 -33.94	       	       	 10.247	  9.654	  9.410	 13.467	21.57	 2.95	37.14	26.09	-0.29	  0.45	M	Simbad	064.014953	+18.859211
194	 119.31	  -2.16	       	       	 12.448	 11.844	 11.582	 17.005	22.40	 5.03	37.76	25.18	 1.94	  0.15	M	Simbad	064.045217	+11.533809
195	 119.59	 -33.59	       	 11.859	  9.062	  8.448	  8.268	 11.299	22.58	 3.53	37.15	26.08	 0.16	  0.63	M	Simbad	064.054675	+18.884501
196	  94.00	 -12.00	       	       	 12.058	 11.472	 11.156	       	17.37	11.56	37.39	25.73	 2.64	  0.24	M	Simbad	064.056444	+16.796674
197	 136.58	 -19.61	       	       	 10.925	 10.321	 10.049	 14.742	25.78	 8.06	37.64	25.37	 0.53	  0.28	M	Simbad	064.105903	+14.171442
198	 105.16	 -37.15	  9.944	  9.125	  7.701	  7.376	  7.275	       	19.85	 6.41	36.75	26.63	 0.31	  0.95	M	Simbad	064.139491	+21.907471
199	  91.51	 -11.31	       	       	 10.425	  9.913	  9.597	 12.969	17.36	14.05	37.89	24.99	-3.12	  0.50	M	Simbad	064.167249	+07.847847
200	  97.36	 -29.97	       	       	 11.161	 10.565	 10.275	 15.090	18.78	 7.34	37.44	25.66	-1.73	  0.35	M	Simbad	064.180416	+16.822211
201	 110.97	 -29.30	       	       	 10.434	  9.813	  9.585	 13.820	21.27	 2.37	37.50	25.56	-0.97	  0.42	M	Simbad	064.226941	+16.356928
202	 112.54	 -30.47	       	 10.800	  8.597	  7.994	  7.909	 10.408	21.31	 2.91	37.26	25.92	 0.59	  0.74	M	Simbad	064.354793	+19.029911
203	 103.22	 -25.07	       	       	 10.471	  9.869	  9.621	 13.845	19.89	 4.78	37.69	25.29	-1.36	  0.44	M	Simbad	064.367235	+14.901045
204	 131.69	 -61.96	       	       	 10.920	 10.345	 10.071	 14.674	23.78	11.72	35.01	28.89	 2.76	  0.30	M	Simbad	064.379903	+30.699032
205	 112.53	 -21.36	  9.075	  8.315	  6.865	  6.486	  6.397	       	21.24	 2.25	37.52	25.54	 1.26	  1.07	M	Simbad	064.412255	+16.947859
206	 120.39	 -17.78	       	       	 10.746	 10.136	  9.868	 14.732	23.06	 4.93	37.88	25.01	-0.65	  0.34	M	Simbad	064.415450	+12.414846
207	 106.91	 -19.84	       	       	  9.405	  8.720	  8.527	 11.977	20.53	 4.08	37.82	25.10	-0.76	  0.62	M	Simbad	064.448721	+13.661776
208	 111.07	 -34.92	       	       	  9.841	  9.246	  8.992	 13.402	21.42	 2.52	37.37	25.76	-0.76	  0.52	M	Simbad	064.460972	+18.475187
209	 100.12	 -26.98	       	       	 11.224	 10.638	 10.365	 15.076	19.41	 5.76	37.71	25.26	-1.76	  0.33	M	Simbad	064.465098	+15.227141
210	  99.11	 -20.60	       	       	 10.871	 10.276	 10.017	 14.490	19.06	 6.78	37.77	25.17	-0.72	  0.39	M	Simbad	064.481527	+14.546253
211	 115.29	 -31.07	  8.229	  7.521	  6.279	  6.032	  5.950	       	22.03	 2.51	37.41	25.70	 0.18	  1.21	M	Simbad	064.507661	+18.256805
212	 111.15	 -16.61	       	       	 10.288	  9.698	  9.352	 14.111	21.30	 3.46	37.88	25.01	-0.07	  0.47	M	Simbad	064.535644	+13.331280
213	 109.69	 -31.31	       	       	 11.647	 11.083	 10.759	 15.448	21.17	 2.28	37.52	25.54	-0.72	  0.24	M	Simbad	064.537524	+17.416257
214	  92.02	 -38.77	 10.348	  9.445	  7.585	  7.077	  6.937	  9.106	17.71	11.91	36.68	26.73	-0.28	  1.13	M	Simbad	064.544953	+23.284651
215	 103.39	 -25.75	       	       	 11.583	 10.970	 10.704	 15.696	19.94	 4.38	37.67	25.33	-0.69	  0.27	M	Simbad	064.554135	+16.098119
216	 119.68	 -19.22	 10.562	  9.569	  7.880	  7.423	  7.322	  9.289	22.67	 2.97	37.68	25.31	 1.46	  0.86	M	Simbad	064.580301	+16.088342
217	 121.18	 -40.70	 11.099	 10.011	  7.840	  7.300	  7.162	  9.606	23.70	 4.56	37.55	25.50	-1.88	  0.88	M	Simbad	064.591639	+17.421641
218	  94.88	 -34.88	  5.945	  5.631	  5.058	  4.936	  4.903	       	18.22	 9.79	36.99	26.30	-0.05	  1.89	M	Simbad	064.596671	+21.579295
219	  69.29	 -30.71	       	       	 12.782	 12.191	 11.930	 16.615	13.71	27.02	37.13	26.11	-2.28	  0.21	M	Simbad	064.606772	+20.707122
220	 114.22	 -41.37	       	       	 11.490	 10.922	 10.601	 15.591	22.40	 2.84	37.46	25.63	-1.88	  0.24	M	Simbad	064.641017	+18.364715
221	 113.32	 -14.71	       	       	 11.062	 10.480	 10.205	 14.959	21.80	 3.90	37.98	24.85	-0.11	  0.31	M	Simbad	064.676028	+12.510702
222	 139.26	   8.24	       	       	 12.183	 11.614	 11.285	 16.633	26.57	13.21	37.99	24.84	-1.60	  0.14	M	Simbad	064.681024	+03.254920
223	 112.74	 -20.20	       	       	  9.121	  8.481	  8.300	 11.449	21.79	 3.31	37.94	24.91	-0.74	  0.64	M	Simbad	064.695989	+13.366315
224	 111.90	  -3.60	       	       	 11.522	 10.884	 10.621	 15.860	21.54	 6.20	38.12	24.64	 0.24	  0.25	M	Simbad	064.732462	+09.396347
225	 114.59	 -36.40	  9.341	  8.592	  7.286	  7.000	  6.921	       	22.03	 3.26	37.30	25.87	 0.14	  1.01	M	Simbad	064.741565	+19.906702
226	 123.43	 -42.73	       	       	 10.904	 10.291	 10.009	 14.822	24.01	 5.43	37.36	25.78	-0.74	  0.31	M	Simbad	064.762907	+19.544309
227	 113.59	 -29.40	  9.204	  8.456	  7.134	  6.872	  6.787	       	21.89	 2.01	37.61	25.41	 0.05	  1.04	M	Simbad	064.783368	+17.524750
228	 103.24	 -40.65	       	       	 10.106	  9.442	  9.222	 13.434	20.08	 5.74	37.07	26.19	-0.44	  0.51	M	Simbad	064.874106	+21.753884
229	 115.48	 -23.42	  4.627	  3.642	  1.963	  1.496	  1.518	       	22.33	 2.42	37.87	25.02	 0.22	  2.60	M	Simbad	064.948349	+15.627643
230	 119.41	 -35.46	  7.401	  6.853	  5.820	  5.588	  5.542	       	23.46	 4.04	37.80	25.13	-1.42	  1.33	M	Simbad	064.978572	+16.522591
231	 114.14	 -20.46	  5.876	  5.572	  5.002	  4.927	  4.853	       	22.17	 2.96	38.02	24.79	-0.24	  1.74	M	Simbad	064.990431	+14.035200
232	 176.79	 113.26	 10.980	  9.778	  7.554	  6.976	  6.832	  9.310	34.92	26.55	35.33	28.49	 0.79	  0.74	M	Simbad	065.044107	-14.761070
233	 115.67	 -34.43	  8.043	  7.444	  6.395	  6.184	  6.124	       	22.39	 3.03	37.51	25.55	 0.30	  1.22	M	Simbad	065.054031	+19.233479
234	 118.89	 -48.37	  6.498	  6.093	  5.343	  5.209	  5.160	       	23.82	 4.85	37.60	25.43	-2.47	  1.52	M	Simbad	065.104621	+18.742608
235	 109.16	 -48.59	       	       	 11.063	 10.483	 10.215	 14.684	22.08	 2.54	37.58	25.45	-3.21	  0.31	M	Simbad	065.115101	+18.897196
236	  96.15	 -38.82	       	       	 11.018	 10.410	 10.127	 14.854	18.93	 7.82	37.23	25.96	-0.79	  0.38	M	Simbad	065.122452	+21.378702
237	 108.59	 -21.47	  5.507	  5.252	  4.750	  4.973	  4.689	       	21.14	 2.24	38.00	24.82	 0.04	  1.91	M	Simbad	065.151294	+15.095451
238	 104.26	 -18.07	  6.622	  6.152	  5.286	  5.155	  5.062	       	20.37	 3.94	38.13	24.63	-0.16	  1.61	M	Simbad	065.219667	+13.864427
239	 109.32	 -51.82	       	       	 10.786	 10.129	  9.888	 14.393	21.51	 6.48	36.73	26.66	-0.43	  0.37	M	Simbad	065.252648	+24.518831
240	 136.75	  16.13	 10.471	  9.412	  7.655	  7.169	  7.068	  9.080	26.70	13.25	38.24	24.45	-0.17	  0.83	M	Simbad	065.267125	+03.268768
241	 106.32	 -46.71	       	       	 12.122	 11.507	 11.242	 16.189	20.94	 5.68	37.00	26.28	-0.41	  0.19	M	Simbad	065.320159	+23.197915
242	 110.76	 -10.93	       	       	 11.361	 10.754	 10.483	 15.819	21.63	 4.01	38.28	24.38	 0.45	  0.27	M	Simbad	065.332342	+12.043899
243	  93.00	 -11.29	       	       	 11.049	 10.453	 10.190	 15.020	18.27	 9.97	38.34	24.30	-0.88	  0.38	M	Simbad	065.347714	+10.867245
244	 105.52	 -35.54	  7.234	  6.783	  5.970	  5.786	  5.762	       	20.50	 4.54	37.39	25.74	 0.62	  1.42	M	Simbad	065.381873	+21.039878
245	 110.27	 -32.27	  7.264	  6.800	  5.944	  5.794	  5.746	       	21.61	 1.91	37.75	25.20	 0.00	  1.38	M	Simbad	065.384451	+18.417581
246	 104.45	 -19.66	  7.018	  6.584	  5.784	  5.666	  5.595	       	20.50	 3.40	38.16	24.58	-0.12	  1.47	M	Simbad	065.394979	+14.409788
247	 104.22	 -25.48	       	       	 11.296	 10.686	 10.441	 15.053	20.64	 3.03	38.14	24.61	-1.26	  0.29	M	Simbad	065.396211	+14.695228
248	 130.22	 -37.33	       	       	 10.783	 10.198	  9.915	 14.898	25.75	 7.59	37.93	24.93	-0.82	  0.30	M	Simbad	065.397918	+16.894350
249	 130.77	 -47.18	       	       	 11.510	 10.901	 10.629	 15.862	25.78	 8.08	37.51	25.56	-0.37	  0.20	M	Simbad	065.409642	+20.302831
250	 110.20	 -39.40	       	       	 10.587	 10.006	  9.739	       	20.89	 6.49	36.87	26.47	 2.14	  0.41	M	Simbad	065.471327	+24.240470
251	 135.33	 -66.00	       	       	  9.885	  9.224	  8.982	 12.897	27.16	10.73	37.03	26.25	-1.26	  0.44	M	Simbad	065.482815	+23.418293
252	 113.20	 -21.93	  6.054	  5.710	  5.052	  5.016	  4.960	       	22.34	 2.89	38.23	24.46	-0.44	  1.69	M	Simbad	065.514657	+14.077197
253	 139.46	  31.10	       	       	  9.857	  9.259	  9.002	 13.474	27.84	14.00	38.40	24.20	 2.52	  0.42	M	Simbad	065.604321	+03.618955
254	 118.68	 -12.30	 11.054	  9.820	  7.620	  7.135	  6.948	  9.334	23.42	 5.66	38.43	24.15	-0.12	  0.94	M	Simbad	065.607046	+11.305709
255	 103.49	  -6.94	       	       	  9.511	  8.847	  8.639	 12.090	20.41	 5.98	38.47	24.09	 0.18	  0.60	M	Simbad	065.625151	+10.434612
256	  94.52	 -19.63	       	       	 10.775	 10.138	  9.912	 14.075	18.65	 7.50	38.19	24.54	 0.00	  0.42	M	Simbad	065.627236	+15.220239
257	 137.87	 -39.79	       	       	  9.605	  8.971	  8.726	 12.453	27.21	 9.70	37.88	25.00	 0.09	  0.48	M	Simbad	065.664836	+18.269328
258	 102.11	 -46.00	       	       	 10.458	  9.834	  9.573	 14.271	20.78	 3.82	37.57	25.46	-2.08	  0.44	M	Simbad	065.678592	+20.570143
259	 111.99	 -20.97	  7.576	  7.084	  5.869	  5.640	  5.558	       	22.06	 2.00	38.22	24.48	 0.39	  1.31	M	Simbad	065.684047	+15.056089
260	 139.95	 -32.63	  8.568	  7.838	  6.575	  6.326	  6.203	       	27.54	10.07	38.06	24.73	 0.44	  1.06	M	Simbad	065.686505	+16.790943
261	 106.58	 -29.17	  4.747	  3.753	  2.094	  1.579	  1.643	       	21.10	 1.65	37.99	24.83	-0.01	  2.60	M	Simbad	065.733719	+17.542514
262	  90.81	 -14.43	       	       	 10.122	  9.467	  9.251	 13.297	17.99	 9.80	38.38	24.23	-0.07	  0.54	M	Simbad	065.749636	+13.316262
263	 107.45	 -22.37	       	       	 12.023	 11.419	 11.119	 16.095	21.27	 1.74	38.24	24.46	 0.03	  0.20	M	Simbad	065.756267	+15.228221
264	 102.35	 -37.44	       	       	 11.048	 10.453	 10.162	 14.830	20.26	 4.84	37.55	25.50	 0.12	  0.34	M	Simbad	065.797403	+21.058952
265	 110.11	 -26.87	       	       	 11.241	 10.632	 10.356	 15.323	21.93	 1.48	38.21	24.50	-0.48	  0.29	M	Simbad	065.802015	+15.712867
266	  99.25	 -38.28	  9.628	  8.846	  7.531	  7.197	  7.121	       	19.74	 5.95	37.51	25.55	-0.11	  1.01	M	Simbad	065.843041	+21.379097
267	  99.40	 -33.75	 10.290	  9.381	  7.722	  7.281	  7.151	  9.114	19.77	 5.02	37.77	25.17	-0.14	  0.99	M	Simbad	065.845210	+19.658674
268	 104.59	 -20.83	       	       	 10.472	  9.894	  9.630	 14.292	20.81	 2.74	38.34	24.29	-0.26	  0.43	M	Simbad	065.849246	+14.427952
269	 104.58	 -28.27	  5.957	  5.625	  5.040	  5.009	  4.945	       	20.85	 1.90	38.13	24.63	-0.38	  1.77	M	Simbad	065.854425	+16.777258
270	 124.45	 -30.46	 11.885	 10.551	  8.193	  7.647	  7.494	 10.007	24.82	 6.15	38.23	24.47	-0.45	  0.76	M	Simbad	065.855334	+15.763113
271	  93.62	 -44.54	  7.643	  7.169	  6.285	  6.141	  6.092	       	18.69	 9.86	36.99	26.30	-0.26	  1.37	M	Simbad	065.876670	+24.405403
