#
#   VizieR Astronomical Server vizier.nao.ac.jp
#    Date: 2019-05-19T22:43:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ce1dbd80c70	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/504/981&tab:{J/A+A/504/981/table3}&key:source=J/A+A/504/981/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/504/981/table3
#-order=I
#-out=Name
#-out=n_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=SpT
#-out=Rmag
#-out=Imag
#-out=r
#-out=pmRA
#-out=pmDE
#-out=Mm
#-out=r2
#-out=Mm2
#-out=pmcat
#pmcat=pmcat
#

#RESOURCE=yCat_35040981
#Name: J/A+A/504/981
#Title: Proper motions of cool stars in Upper Sco OB (Bouy+, 2009)
#Table	J_A_A_504_981_table3:
#Name: J/A+A/504/981/table3
#Title: Sample of Upper Scorpius objects with a counterpart in the USNO-B (<I/284>) only or USNO-B and UCAC2 (<I/294>) catalogues
#Column	Name	(a23)	Name	[ucd=meta.id;meta.main]
#Column	n_Name	(A2)	[ab ] Note on Name (G2)	[ucd=meta.note]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SpT	(a5)	MK spectral type	[ucd=src.spType]
#Column	Rmag	(F5.2)	? R magnitude from literature	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	? I magnitude from literature	[ucd=phot.mag;em.opt.I]
#Column	r	(F6.3)	Distance between the object and its closest USNO-B (<I/284>) counterpart	[ucd=meta.id.assoc;pos.angDistance]
#Column	pmRA	(I4)	USNO-B (<I/284>) proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I4)	USNO-B (<I/284>) proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	Mm	(F4.1)	Membership probability for USNO-B (<I/284>) catalog	[ucd=meta.code.member]
#Column	r2	(F6.3)	? Distance between the object and its closest UCAC2 (<I/294>) counterpart	[ucd=pos.angDistance]
#Column	Mm2	(F4.1)	? Membership probability for UCAC2 (<I/294>) catalog	[ucd=meta.code.member]
#Column	pmcat	(a5)	Details from catalogues with proper motions: USNO-B (Cat. I/184), UCAC2 (I/184), UCAC3 (I/315)	[ucd=meta.ref.url]
Name	n_Name	RAJ2000	DEJ2000	SpT	Rmag	Imag	r	pmRA	pmDE	Mm	r2	Mm2	pmcat
SCHJ16051829-17562092  	  	16 05 18.2	-17 56 20.9	M4   	15.65	14.040	 0.450	  -2	 -16	99.9	 0.239	99.9	pmcat
SCHJ16054416-21550566  	  	16 05 44.1	-21 55 05.6	M5   	16.79	14.800	 0.262	  -8	 -22	99.9	      	    	pmcat
SCHJ16072640-21441727  	  	16 07 26.4	-21 44 17.2	M6   	20.21	17.950	 0.286	 -24	 -22	83.1	      	    	pmcat
SCHJ16075565-24432714  	  	16 07 55.6	-24 43 27.1	M5.5 	18.68	16.660	 0.610	 -10	 -24	99.9	      	    	pmcat
SCHJ16081081-22294303  	  	16 08 10.8	-22 29 43.0	M5   	17.55	15.610	 0.473	  -6	 -20	99.9	      	    	pmcat
SCHJ16083646-24453053  	  	16 08 36.4	-24 45 30.5	M3.5 	15.32	13.790	 1.083	 -14	 -20	99.9	 0.405	99.4	pmcat
SCHJ16083658-18024994  	  	16 08 36.5	-18 02 49.9	M6.5 	18.41	16.140	 0.360	  -2	 -22	99.9	      	    	pmcat
SCHJ16084058-22255726  	a 	16 08 40.5	-22 25 57.2	M4   	18.29	16.520	 0.431	 -42	 -12	 0.1	      	    	pmcat
SCHJ16085870-24493641  	  	16 08 58.7	-24 49 36.4	M4   	16.54	14.860	 0.430	  -6	 -28	99.8	      	    	pmcat
SCHJ16090451-22245259  	  	16 09 04.5	-22 24 52.5	M7   	19.03	16.490	 0.398	  -4	 -26	99.9	      	    	pmcat
SCHJ16090511-24262843  	  	16 09 05.1	-24 26 28.4	M4   	15.87	14.290	 0.631	  -6	 -18	99.9	      	    	pmcat
SCHJ16090883-22174699  	  	16 09 08.8	-22 17 46.9	M5   	17.71	15.640	 0.523	  -4	 -36	90.8	      	    	pmcat
SCHJ16093018-20595409  	  	16 09 30.1	-20 59 54.0	M6   	19.41	17.300	 0.681	 -16	  -6	93.3	      	    	pmcat
SCHJ16095217-21362826  	  	16 09 52.1	-21 36 28.2	M7   	18.33	16.050	 0.408	   0	 -26	99.7	      	    	pmcat
SCHJ16095307-19481704  	  	16 09 53.0	-19 48 17.0	M6   	18.12	16.000	 0.077	  -6	 -32	99.0	      	    	pmcat
SCHJ16095695-22120300  	  	16 09 56.9	-22 12 03.0	M5.5 	18.72	16.490	 0.451	 -10	 -16	99.9	      	    	pmcat
SCHJ16100129-21522466  	  	16 10 01.2	-21 52 24.6	M5.5 	     	      	 0.326	 -22	 -22	94.7	      	    	pmcat
SCHJ16101190-21015540  	  	16 10 11.9	-21 01 55.4	M5.5 	18.80	16.770	 0.638	  -6	 -18	99.9	      	    	pmcat
SCHJ16102990-24035024  	  	16 10 29.9	-24 03 50.2	M4.5 	17.42	15.590	 0.649	 -12	 -16	99.9	      	    	pmcat
SCHJ16103525-20291714  	  	16 10 35.2	-20 29 17.1	M5   	17.77	15.770	 0.347	  -8	 -18	99.9	      	    	pmcat
SCHJ16103876-18292353  	  	16 10 38.7	-18 29 23.5	M6   	19.87	17.630	 0.366	  -8	 -14	99.9	      	    	pmcat
SCHJ16110739-22285027  	  	16 11 07.3	-22 28 50.2	M6.25	17.64	15.440	 0.076	  -2	 -36	88.0	      	    	pmcat
SCHJ16112629-23400611  	  	16 11 26.2	-23 40 06.1	M5.5 	18.33	16.420	 0.546	 -18	 -28	97.6	      	    	pmcat
SCHJ16112959-19002921  	  	16 11 29.5	-19 00 29.2	M6   	19.76	17.350	 0.308	  16	 -22	 6.0	      	    	pmcat
SCHJ16114735-22420649  	  	16 11 47.3	-22 42 06.4	M5   	18.46	16.410	 0.576	  20	 -20	 0.1	      	    	pmcat
SCHJ16121188-20472698  	  	16 12 11.8	-20 47 26.9	M6.5 	19.39	17.090	 0.413	   4	 -20	99.5	      	    	pmcat
SCHJ16122764-24064850  	  	16 12 27.6	-24 06 48.5	M7   	17.85	15.880	 0.710	 -12	 -12	99.8	      	    	pmcat
SCHJ16123459-24583447  	  	16 12 34.5	-24 58 34.4	M4.75	16.87	14.830	 0.298	 -18	 -24	99.1	      	    	pmcat
SCHJ16123758-23492340  	  	16 12 37.5	-23 49 23.4	M6   	19.10	17.000	 0.338	  -6	 -20	99.9	      	    	pmcat
SCHJ16130306-19293234  	  	16 13 03.0	-19 29 32.3	M5.5 	18.85	16.750	 0.541	 -22	 -32	50.0	      	    	pmcat
SCHJ16131857-15293460  	  	16 13 18.5	-15 29 34.6	M4.75	16.50	14.490	 0.170	  -8	 -16	99.9	      	    	pmcat
SCHJ16132576-17373542  	  	16 13 25.7	-17 37 35.4	M4   	16.48	14.830	 0.379	 -18	 -22	99.3	      	    	pmcat
SCHJ16141351-22445788  	  	16 14 13.5	-22 44 57.8	M4   	16.76	15.020	 0.266	  -4	 -18	99.9	      	    	pmcat
SCHJ16141484-24270844  	  	16 14 14.8	-24 27 08.4	M7   	17.83	15.600	 0.613	   2	 -28	99.1	      	    	pmcat
SCHJ16153915-19170073  	  	16 15 39.1	-19 17 00.7	M4.75	17.32	15.090	 0.537	 -14	 -30	98.9	      	    	pmcat
SCHJ16155508-24443677  	  	16 15 55.0	-24 44 36.7	M6   	19.18	16.810	 0.732	 -14	  -4	90.1	      	    	pmcat
SCHJ16162599-21122315  	  	16 16 25.9	-21 12 23.1	M5   	19.42	17.340	 0.187	 -22	   0	 1.8	      	    	pmcat
SCHJ16163504-20575551  	  	16 16 35.0	-20 57 55.5	M5.5 	17.26	15.290	 0.079	   4	 -32	91.3	      	    	pmcat
SCHJ16164538-23334143  	  	16 16 45.3	-23 33 41.4	M5   	18.79	16.770	 0.299	 -14	 -30	98.9	      	    	pmcat
SCHJ16165160-20485398  	  	16 16 51.6	-20 48 53.9	M4   	16.49	14.780	 0.095	  -4	 -26	99.9	      	    	pmcat
SCHJ16173788-21191618  	  	16 17 37.8	-21 19 16.1	M4   	16.84	14.930	 0.328	 -14	 -20	99.9	      	    	pmcat
SCHJ16181567-23470847  	  	16 18 15.6	-23 47 08.4	M5.5 	18.55	16.180	 0.101	 -12	 -20	99.9	      	    	pmcat
SCHJ16181906-20284815  	  	16 18 19.0	-20 28 48.1	M4.75	17.36	15.380	 0.559	  -8	 -22	99.9	      	    	pmcat
SCHJ16183620-24253332  	  	16 18 36.2	-24 25 33.3	M4   	16.60	14.750	 0.321	  -6	 -12	99.9	      	    	pmcat
SCHJ16185038-24243205  	  	16 18 50.3	-24 24 32.0	M5   	18.97	16.790	 0.258	  -4	 -18	99.9	      	    	pmcat
SCHJ16190473-23075283  	  	16 19 04.7	-23 07 52.8	M5.5 	18.50	16.300	 0.255	  -8	 -24	99.9	      	    	pmcat
SCHJ16191521-24172429  	  	16 19 15.2	-24 17 24.2	M4   	17.23	15.190	 0.300	 -16	 -20	99.7	      	    	pmcat
SCHJ16192994-24255414  	  	16 19 29.9	-24 25 54.1	M4   	16.41	14.530	 0.568	 -18	  -8	93.9	      	    	pmcat
SCHJ16200756-23591522  	  	16 20 07.5	-23 59 15.2	M6   	19.14	16.750	 0.523	  -4	 -18	99.9	      	    	pmcat
SCHJ16202523-23160347  	ab	16 20 25.2	-23 16 03.4	M5.5 	19.47	17.590	 0.248	  78	  26	 0.1	      	    	pmcat
SCHJ16202127-21202923  	  	16 20 21.2	-21 20 29.2	M6   	19.14	16.610	 0.440	  -4	 -22	99.9	      	    	pmcat
SCHJ16211564-24361173  	  	16 21 15.6	-24 36 11.7	M3.5 	15.86	14.500	 0.157	 -28	 -18	20.2	      	    	pmcat
SCHJ16212490-24261446  	  	16 21 24.9	-24 26 14.4	M3.5 	18.24	16.140	 0.227	  -2	 -14	99.9	      	    	pmcat
SCHJ16221577-23134936  	a 	16 22 15.7	-23 13 49.3	M6   	18.87	16.800	 0.316	 -22	 -44	 0.1	      	    	pmcat
SCHJ16222156-22173094  	  	16 22 21.5	-22 17 30.9	M5   	18.63	16.520	 0.620	 -14	 -12	99.6	      	    	pmcat
SCHJ16235158-23172740  	  	16 23 51.5	-23 17 27.4	M8   	19.86	17.400	 0.446	 -10	 -18	99.9	      	    	pmcat
SCHJ16252862-16585055  	  	16 25 28.6	-16 58 50.5	M8   	19.95	17.470	 0.363	   0	 -12	99.7	      	    	pmcat
SCHJ16254319-22300300  	  	16 25 43.1	-22 30 03.0	M5   	17.22	15.840	 0.547	 -16	 -20	99.7	      	    	pmcat
SCHJ16255064-21554577  	  	16 25 50.6	-21 55 45.7	M4.75	19.28	17.200	 0.351	 -20	 -32	75.7	      	    	pmcat
SCHJ16263026-23365552  	  	16 26 30.2	-23 36 55.5	M6   	19.51	17.480	 0.441	  -8	 -32	99.0	      	    	pmcat
SCHJ16265619-22135224  	  	16 26 56.1	-22 13 52.2	M6   	19.14	16.760	 0.289	  -8	 -34	97.3	      	    	pmcat
SCHJ16270940-21484591  	  	16 27 09.4	-21 48 45.9	M4.5 	18.39	16.290	 0.424	  -6	 -22	99.9	      	    	pmcat
SCHJ16292211-17420937  	  	16 29 22.1	-17 42 09.3	M4.75	17.48	15.460	 0.149	 -16	 -28	98.9	      	    	pmcat
SCHJ16293664-17084094  	  	16 29 36.6	-17 08 40.9	M4.75	16.74	14.820	 0.441	  -2	 -20	99.9	      	    	pmcat
SCHJ16293934-16145647  	  	16 29 39.3	-16 14 56.4	M3   	15.90	14.510	 0.654	 -24	  -6	16.8	      	    	pmcat
SCHJ16294877-21370914  	  	16 29 48.7	-21 37 09.1	M5   	17.38	15.450	 0.402	 -10	 -18	99.9	      	    	pmcat
SCHJ16302675-23590905  	  	16 30 26.7	-23 59 09.0	M6   	18.26	16.020	 0.407	 -16	 -30	97.8	      	    	pmcat
SCHJ16303392-24280657  	  	16 30 33.9	-24 28 06.5	M4   	16.67	14.670	 0.209	  -6	 -26	99.9	      	    	pmcat
SCHJ16305349-24245439  	  	16 30 53.4	-24 24 54.3	M5.5 	17.51	15.510	 0.578	  -6	 -16	99.9	      	    	pmcat
SCHJ16324224-23165644  	a 	16 32 42.2	-23 16 56.4	M5.5 	16.77	14.700	 0.235	 -22	 -42	 0.1	      	    	pmcat
SCHJ16324726-20593771  	  	16 32 47.2	-20 59 37.7	M6   	18.49	16.550	 0.122	 -24	 -24	78.8	      	    	pmcat

