#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-29T05:47:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db7d26d1df0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/notes}&key:source=J/A+A/558/A53/notes&HTTPPRM:&
#-source=J/A+A/558/A53/notes
#-order=I
#-out=MWSC
#-out=Name
#-out=flag
#-out=Type
#-out=n_Type
#-out=Note
#

#RESOURCE=yCat_35580053
#Name: J/A+A/558/A53
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)
#Table	J_A_A_558_A53_notes:
#Name: J/A+A/558/A53/notes
#Title: Notes to MWSC objects
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.record]
#Column	Name	(a17)	NGC, IC or other common designation	[ucd=meta.id]
#Column	flag	(A1)	[&:=-] Flag of confirmation/no confirmation (G5)	[ucd=meta.code.error]
#Column	Type	(A1)	[agmnrs] Object type (G1)	[ucd=src.class]
#Column	n_Type	(A1)	[oc] object/candidate	[ucd=meta.note]
#Column	Note	(a52)	Text of note	[ucd=meta.note]
MWSC	Name	flag	Type	n_Type	Note
0893	Juchert_18       	=	 	 	
0894	IRAS_06291+0421  	:	 	 	SIMBAD: Infra-Red source; shows spatial
0894	IRAS_            	 	 	 	concentration, but neither clear CMD, nor MED;
0894	IRAS_            	 	 	 	clump in corona of NGC_2244.
0895	FSR_0977         	=	 	 	
0896	NGC_2244         	=	n	o	Ionizing cluster of the Rosette Nebula(NGC_2237).
0897	FSR_0974         	&	 	 	Duplicated by 898_FSR_0974.
0898	FSR_0974         	=	 	 	
0899	NGC_2245         	:	 	 	Reflection Nebula; shows spatial concentration, but
0899	NGC_2            	 	 	 	neither clear MED, nor RDP.
0900	NGC_2240         	=	 	 	Center is shifted to 6.5555h,+35.265d; classified as
0900	NGC_2            	 	 	 	non-existent in NGC; parameters have been strongly
0900	NGC_2            	 	 	 	changed compared to COCD.
0901	IRAS_06306+0437  	:	 	 	SIMBAD: Infra-Red source; shows weak spatial
0901	IRAS_            	 	 	 	concentration, but neither clear MED, nor CMD.
0902	Berkeley_23      	=	 	 	Center is shifted to 6.5583h,+20.550d.
0903	RNO_73           	:	 	 	SIMBAD: Insterstellar matter; shows spatial
0903	RNO_7            	 	 	 	concentration, but neither clear MED, nor CMD;
0903	RNO_7            	 	 	 	strong and variable reddening.
0904	FSR_0905         	=	 	 	
0905	NGC_2250         	=	 	 	
0906	IRAS_06314+0427  	:	 	 	SIMBAD: Infra-Red source; shows weak spatial
0906	IRAS_            	 	 	 	concentration, but neither clear MED, nor CMD;
0906	IRAS_            	 	 	 	strong and variable reddening.
0907	Basel_8          	=	 	 	
0908	RMC-4b           	=	 	 	
0909	FSR_1317         	=	r	c	Sparse.
0910	FSR_1099         	=	 	 	
0911	NGC_2252         	=	 	 	Sparse; poor RDP.
0912	FSR_0848         	=	 	 	Sparse; poor RDP.
0913	FSR_1106         	=	 	 	
0914	IRAS_06318+0420  	:	 	 	SIMBAD: Infra-Red source; shows spatial
0914	IRAS_            	 	 	 	concentration, but neither clear MED, nor CMD;
0914	IRAS_            	 	 	 	strong and variable reddening.
0915	NGC_2248         	=	 	 	Small.
0916	NGC_2251         	=	 	 	
0917	FSR_1063         	=	 	 	
0918	IRAS_06319+0415  	:	 	 	SIMBAD: Infra-Red source; shows spatial
0918	IRAS_            	 	 	 	concentration, but neither clear MED, nor CMD;
0918	IRAS_            	 	 	 	strong and variable reddening.
0919	FSR_0935         	=	 	 	
0920	FSR_1187         	=	r	c	Sparse.
0921	Mon_OB1          	:	a	o	Large multicenter association, pipeline is not
0921	Mon_O            	 	 	 	applicable.
0922	IRAS_06329+0401  	:	 	 	SIMBAD: Infra-Red source; shows spatial
0922	IRAS_            	 	 	 	concentration, but neither clear MED, nor CMD;
0922	IRAS_            	 	 	 	strong and variable reddening.
0923	Mon_OB2          	:	a	o	Large multicenter association, pipeline is not
0923	Mon_O            	 	 	 	applicable.
0924	NGC_2254         	=	 	 	PMs in center are poor/absent due to crowding.
0925	FSR_1065         	=	 	 	
0926	FSR_1032         	=	 	 	
0927	ESO_426-26       	=	 	 	
0928	FSR_1126         	=	 	 	
0929	Ruprecht_1       	=	 	 	Center is shifted to 6.6090h,-14.193d.
0930	Collinder_104    	=	 	 	Center is shifted to 6.6075h,+4.773d.
0931	FSR_1179         	&	 	 	Coincides with Ruprecht_1.
0932	Basel_7          	=	 	 	Center is shifted to 6.6050h,+8.330d.
0933	Trumpler_5       	=	 	 	Center is shifted to 6.6080h,+9.470d; PMs in center
0933	Trump            	 	 	 	are poor/absent due to crowding.
0934	vdBergh_1        	=	 	 	
0935	FSR_1151         	=	 	 	
0936	Collinder_106    	=	 	 	Center is shifted to 6.6205h,+6.070d.
0937	Berkeley_24      	=	 	 	
0938	FSR_1092         	=	 	 	Sparse.
0939	NGC_2260         	-	s	o	
0940	NGC_2259         	=	 	 	Center is shifted to 6.6422,+10.875d.
0941	Collinder_110    	=	 	 	Center is shifted to 6.6450h,+2.035d.
0942	BDSB_84          	:	 	 	Shows weak spatial concentration, but neither clear
0942	BDSB_            	 	 	 	CMD, nor MED.
0943	Collinder_107    	=	 	 	
0944	Collinder_111    	=	 	 	Very sparse.
0945	Collinder_110A   	-	 	 	NKh was not able to confirm COCD parameters of
0945	Colli            	 	 	 	Collinder_110A: d=450 pc, E(B-V)=0.32, log t =8.19.
0946	NGC_2262         	=	 	 	
0947	FSR_1053         	=	 	 	
0948	FSR_0975         	=	r	o	Sparse.
0949	vdBergh_83       	=	 	 	Center is shifted to 6.6690h,-27.290d.
0950	FSR_1285         	=	 	 	Sparse.
0951	FSR_1082         	=	 	 	
0952	FSR_0998         	=	 	 	
0953	FSR_1210         	=	 	 	
0954	NGC_2264         	=	n	o	S_Mon; it is involded with or contains nebulosity.
0955	Berkeley_25      	=	 	 	Center is shifted to 6.6870h,-16.495d.
0956	Ruprecht_2       	=	 	 	
0957	Mon_OB1-D        	=	n	o	Overlaps with 954_NGC_2264.
0958	NGC_2264         	&	 	 	Duplicated by 0954_NGC_2264.
0959	NGC_2265         	=	 	 	
0960	FSR_1077         	=	 	 	
0961	DC_1             	:	 	 	Shows weak spatial concentration, but neither clear
0961	DC_1             	 	 	 	MED, nor CMD.
0962	Ruprecht_3       	=	r	o	Poor RDP; PMs in center are poor/absent due to
0962	Rupre            	 	 	 	crowding.
0963	Dolidze_23       	=	 	 	Center is shifted to 6.7105h,+0.100d.
0964	Alessi_15        	=	 	 	
0965	FSR_0878         	=	 	 	Overlaps with corona of NGC_2266.
0966	NGC_2269         	=	 	 	
0967	NGC_2266         	=	 	 	Overlaps with corona of FSR_0878; PMs in center are
0967	NGC_2            	 	 	 	poor/absent due to crowding.
0968	Alessi_16        	=	 	 	Small; sparse.
0969	Teutsch_13       	=	 	 	Sparse.
0970	FSR_0999         	=	 	 	
0971	NGC_2270         	=	 	 	Sparse.
0972	Dolidze_24       	=	r	c	Sparse; center is shifted to 6.7455h,+1.735d.
0973	FSR_1303         	=	 	 	Sparse.
0974	Patchick_90      	=	 	 	Center is shifted to 6.7438h,-0.560d.
0975	Dolidze_25       	=	 	 	Center is shifted to 6.7520h,+0.240d.
0976	SAI_69           	=	 	 	
0977	ASCC_25          	=	 	 	Very sparse; poor RDP.
0978	NGC_2287         	=	 	 	M_41; PMs in center are poor/absent due to crowding.
0979	FSR_1166         	&	 	 	Clump inside of FSR_1167.
0980	FSR_1167         	=	 	 	
0981	Collinder_115    	=	 	 	Sparse; center is shifted to 6.7765h,+1.797d.
0982	NGC_2282         	-	n	o	SIMBAD: Reflection Nebula; contains vdBergh_85.
0983	vdBergh_85       	=	n	o	Is seen through nebula NGC_2282.
0984	Dolidze_49       	=	 	 	Overlaps with FSR_1072.
0985	FSR_1057         	=	 	 	
0986	FSR_1072         	=	 	 	Overlaps with Dolidze_49.
0987	NGC_2286         	=	 	 	
0988	Sh2_287N         	:	 	 	SIMBAD: Infra-Red source; shows spatial
0988	Sh2_2            	 	 	 	concentration, but neither clear MED, nor CMD.
0989	NGC_2281         	=	 	 	PMs are poor/absent due to crowding.
0990	Ruprecht_4       	=	 	 	
0991	Bochum_2         	=	 	 	
0992	NGC_2298         	=	g	o	PMs in center are poor/absent due to crowding.
0993	Berkeley_75      	=	 	 	
0994	Berkeley_26      	=	 	 	Biurakan_12; center is shifted to 6.8365h,+5.755d.
0995	ASCC_26          	=	 	 	Sparse.
0996	FSR_1125         	=	 	 	Sparse.
0997	FSR_1025         	=	 	 	Sparse.
0998	ESO_309-03       	=	 	 	Sparse.
0999	Berkeley_27      	=	 	 	Biurakan_11.
1000	NGC_2301         	=	 	 	
1001	NGC_2302         	=	 	 	
1002	Berkeley_28      	=	 	 	Biurakan_10; center is shifted to 6.8690h,+2.910d;
1002	Berke            	 	 	 	PMs
1002	Berke            	 	 	 	in center are poor/absent due to crowding.
1003	FSR_1051         	=	 	 	Sparse.
1004	Alessi_59        	=	 	 	
1005	FSR_1191         	=	 	 	
1006	Ruprecht_149     	=	 	 	
1007	FSR_1085         	=	 	 	
1008	Berkeley_29      	=	 	 	Center is shifted to 6.8840h,+16.930d.
1009	ASCC_27          	=	 	 	
1010	DC_4             	=	 	 	
1011	ASCC_28          	=	 	 	Center is shifted to 6.9050h,-0.150d.
1012	FSR_1029         	=	 	 	
1013	ASCC_29          	=	 	 	Sparse; center is shifted to 6.9055h,-1.690d.
1014	NGC_2306         	=	s	c	Sparse; poor RDP; DeepSB: Asterism.
1015	FSR_1197         	=	 	 	
1016	BDSB_88          	=	 	 	Overlaps with corona of ASCC_29.
1017	FSR_1279         	=	 	 	
1018	Collinder_121    	=	a	o	Sparse; SIMBAD: Association of Stars.
1019	NGC_2304         	=	 	 	
1020	Ruprecht_5       	=	 	 	
1021	BDSB_85          	:	 	 	Shows spatial concentration, but neither clear CMD,
1021	BDSB_            	 	 	 	nor MED; PMs in center are poor/absent due to
1021	BDSB_            	 	 	 	crowding.
1022	FSR_0866         	=	 	 	
1023	FSR_1172         	=	 	 	
1024	SAI_72           	=	 	 	
1025	Ruprecht_6       	=	r	o	
1026	NGC_2309         	=	 	 	PMs in center are poor/absent due to crowding.
1027	FSR_0860         	=	 	 	
1028	ASCC_30          	=	 	 	
1029	BDSB_92          	&	 	 	Clump inside of ASCC_30.
1030	BDSB_93          	=	 	 	Sparse; poor RDP; PMs in center are poor/absent due
1030	BDSB_            	 	 	 	to crowding.
1031	FSR_1144         	=	 	 	
1032	Berkeley_31      	=	 	 	Biurakan_7; faraway; faint; center is shifted to
1032	Berke            	 	 	 	6.9597h,+8.298d.
1033	Berkeley_33      	=	 	 	Center is shifted to 6.9640h,-13.220d.
1034	Berkeley_30      	=	 	 	Biurakan_9; PMs in center are poor/absent due to
1034	Berke            	 	 	 	crowding.
1035	NGC_2311         	=	 	 	
1036	FSR_1159         	=	 	 	Center is shifted to 6.9652h,-8.745d.
1037	Berkeley_32      	=	 	 	Biurakan_8.
1038	FSR_1080         	=	 	 	Sparse.
1039	Mon_OB3          	=	a	o	Very sparse; poor RDP.
1040	FSR_1164         	=	 	 	Sparse; poor RDP; overlaps with FSR_1163.
1041	IRAS_06562-0337  	=	 	 	Sparse.
1042	FSR_1129         	=	 	 	
1043	NGC_2312         	=	 	 	Sparse.
1044	FSR_1195         	=	 	 	
1045	BFS_56           	&	 	 	Duplicated by BSF_56.
1046	BSF_56           	&	 	 	Coincides with IRAS_06567-0355.
1047	IRAS_06567-0355  	=	 	 	Strong and variable reddening; poor RDP.
1048	FSR_1163         	=	 	 	Overlaps with FSR_1164.
1049	BDSB_89          	:	 	 	Shows spatial concentration, but neither clear MED,
1049	BDSB_            	 	 	 	nor RDP.
1050	NGC_2318         	=	 	 	Dias: non-existent NGC/not found in DSS; NKh:
1050	NGC_2            	 	 	 	middle-age cluster.
1051	FSR_1185         	=	r	c	PMs in center are poor/absent due to crowding.
1052	Sh2_287C         	=	 	 	Poor; small.
1053	BDSB_90          	=	 	 	
1054	L_1654           	:	n	o	SIMBAD: Dark Cloud (nebula); shows spatial
1054	L_165            	 	 	 	concentration, but neither clear MED, nor MED.
1055	Ivanov_9         	=	 	 	
1056	FSR_1171         	=	 	 	
1057	Wit_1            	=	 	 	Sparse; poor RDP; the brightest member is
1057	Wit_1            	 	 	 	HD 52266 O9V C/B5 Iab.
1058	Berkeley_34      	=	 	 	Biurakan_13.
1059	Ferrero_10       	-	 	 	Dias: Open cluster candidate (Alessi, private
1059	Ferre            	 	 	 	communication); NKh: No signature of a cluster
1059	Ferre            	 	 	 	(even concentration) is observed.
1060	Tombaugh_1       	=	 	 	PMs in center are poor/absent due to crowding.
1061	Ivanov_4         	=	 	 	Center is shifted to 7.0105h,-8.840d.
1062	FSR_0843         	=	r	c	
1063	FSR_0980         	:	 	 	Shows spatial concentration, but neither clear MED,
1063	FSR_0            	 	 	 	nor RDP.
1064	NGC_2319         	=	 	 	Sparse; age has been strongly changed compared to
1064	NGC_2            	 	 	 	COCD.
1065	BDSB_94          	:	 	 	Shows spatial concentration, but neither clear MED,
1065	BDSB_            	 	 	 	nor MED; probably clump in corona of Ivanov_4
1066	ASCC_31          	=	 	 	Sparse; center is shifted to 7.0180h,+3.530d.
1067	Wit_2            	=	 	 	Sparse; poor RDP.
1068	Ruprecht_8       	=	 	 	
1069	ASCC_32          	=	 	 	Alessi_33.
1070	Ruprecht_9       	=	 	 	
1071	Alessi_60        	=	 	 	
1072	NGC_2323         	=	 	 	M_50; PMs in center are poor/absent due to crowding.
1073	FSR_1184         	=	r	c	PMs in center are poor/absent due to crowding.
1074	FSR_1169         	=	 	 	
1075	NGC_2348         	=	r	o	Poor; very sparse.
1076	Tombaugh_2       	=	 	 	PMs in center are poor/absent due to crowding.
1077	ASCC_33          	=	n	o	Sparse; center is shifted to 7.0625h,-25.055d; the
1077	ASCC_            	 	 	 	brightest members are B2/B3V and B3 (V)N; variable
1077	ASCC_            	 	 	 	reddening.
1078	Czernik_27       	=	r	c	Poor; very sparse.
1079	Bochum_3         	=	 	 	Center is shifted to 7.0580h,-5.005d.
1080	vdBergh_92       	=	n	o	Center is shifted to 7.0680h,-11.530d; it is
1080	vdBer            	 	 	 	involded with or contains nebulosity.
1081	Haffner_3        	=	 	 	
1082	IRAS_07016-1118  	:	n	o	Shows spatial concentration, but neither clear CMD,
1082	IRAS_            	 	 	 	nor MED; PMs are poor/absent due to crowding.
1083	FSR_1149         	=	 	 	Center is shifted to 7.0665h,-6.385d.
1084	NGC_2324         	=	 	 	
1085	FSR_1100         	=	 	 	Sparse; bad RDP; center is shifted to 7.0660h,
1085	FSR_1            	 	 	 	-0.085d.
1086	NGC_2327         	:	n	o	Reflection Nebula; shows spatial concentration, but
1086	NGC_2            	 	 	 	neither clear CMD, nor MED; PMs are poor/absent due
1086	NGC_2            	 	 	 	to crowding.
1087	Auner_1          	=	 	 	
1088	FSR_1194         	=	 	 	The brightest member is B9 III.
1089	FSR_1150         	=	 	 	
1090	BDSB_96          	=	n	o	PMs in center are poor/absent due to crowding.
1091	FSR_1178         	=	 	 	PMs in center are poor/absent due to crowding.
1092	FSR_1192         	=	 	 	
1093	Ruprecht_150     	=	 	 	
1094	Haffner_4        	=	 	 	Center is shifted to 7.1015h,-14.995d.
1095	ESO_427-32       	=	 	 	Sparse.
1096	FSR_1039         	=	r	c	Sparse.
1097	FSR_1199         	=	 	 	
1098	Ruprecht_10      	=	 	 	PMs in center are poor/absent due to crowding.
1099	Berkeley_76      	=	 	 	
1100	NGC_2335         	=	 	 	Sparse.
1101	Collinder_465    	=	r	c	Sparse.
1102	Collinder_466    	=	 	 	
1103	NGC_2331         	=	 	 	Sparse; center is shifted to 7.1120h,27.255d.
1104	FSR_1190         	:	 	 	Shows spatial concentration, but neither clear CMD,
1104	FSR_1            	 	 	 	nor MED; strong reddening; PMs are poor/absent due
1104	FSR_1            	 	 	 	to crowding.
1105	FSR_1209         	=	 	 	
1106	CMa_OB1          	:	a	o	Large multicenter association, pipeline is not
1106	CMa_O            	 	 	 	applicable.
1107	Ruprecht_12      	=	 	 	Center is shifted to 7.1195h,-28.222d; parametrs
1107	Rupre            	 	 	 	have been strongly changed compared to COCD.
1108	Ruprecht_11      	=	 	 	
1109	FSR_1223         	=	 	 	
1110	FSR_1202         	=	 	 	
1111	FSR_1170         	=	 	 	
1112	FSR_1207         	=	 	 	
1113	FSR_0876         	=	r	o	Very sparse; poor RDP.
1114	NGC_2338         	=	 	 	
1115	FSR_1212         	=	 	 	Sparse.
1116	Ruprecht_13      	=	 	 	
1117	FSR_1200         	=	 	 	
1118	FSR_1111         	=	 	 	
1119	NGC_2343         	=	 	 	
1120	NGC_2345         	=	 	 	
1121	FSR_1204         	=	r	c	Sparse.
1122	FSR_1219         	=	 	 	
1123	FSR_1289         	=	 	 	Sparse.
1124	IC_466           	:	 	 	SIMBAD: HII (ionised) region; shows weak spatial
1124	IC_46            	 	 	 	concentration, but neither clear CMD, nor MED.
1125	FSR_1173         	=	 	 	
1126	FSR_1113         	=	 	 	PMs in center are poor/absent due to crowding.
1127	Haffner_23       	=	 	 	Center is shifted to E by 0.05d.
1128	IRAS_07069-1045  	:	 	 	Shows weak spatial concentration, but neither clear
1128	IRAS_            	 	 	 	CMD, nor MED.
1129	Berkeley_35      	=	 	 	
1130	FSR_1075         	&	 	 	Coincides with Berkeley_35.
1131	DBSB_2           	:	 	 	Shows spatial concentration, but neither clear CMD,
1131	DBSB_            	 	 	 	nor MED.
1132	OCl_374          	-	n	o	Galaxy NGC_2314.
1133	DBSB_3           	=	 	 	Strong and variable reddening; poor RDP; PMs
1133	DBSB_            	 	 	 	poor/absent due to crowding.
1134	ASCC_34          	=	 	 	Sparse; poor.
1135	Dias_3           	=	 	 	Center is shifted to 7.1730h,-8.395d.
1136	FSR_1158         	=	 	 	
1137	Alessi_21        	=	 	 	Sparse.
1138	NGC_2349         	=	r	o	Dias: non-existent NGC/not found in DSS; NKh: old
1138	NGC_2            	 	 	 	remnant cluster.
1139	FSR_1160         	=	 	 	
1140	FSR_1091         	=	 	 	Sparse.
1141	ASCC_35          	=	 	 	Radii have been strongly changed compared to COCD.
1142	FSR_1281         	=	 	 	
1143	NGC_2352         	=	 	 	Sparse.
1144	FSR_1183         	=	 	 	
1145	FSR_1076         	=	 	 	
1146	NGC_2351         	=	 	 	
1147	Collinder_132    	=	 	 	Center is shifted to 7.2240h,-30.975d.
1148	NGC_2354         	=	 	 	Parameters have been strongly changed compared to
1148	NGC_2            	 	 	 	COCD and WEBDA.
1149	FSR_1153         	=	 	 	
1150	FSR_1326         	=	 	 	
1151	ASCC_36          	=	 	 	
1152	NGC_2353         	=	 	 	
1153	FSR_1332         	=	 	 	Sparse.
1154	Ruprecht_14      	=	 	 	
1155	FSR_1180         	=	 	 	
1156	Berkeley_36      	=	 	 	Center is shifted to 7.2722h,-13.178d.
1157	Alessi_3         	=	 	 	Nearby; sparse .
1158	BDSB_95          	:	 	 	Shows spatial concentration, but neither clear CMD,
1158	BDSB_            	 	 	 	nor MED; PMs in center are poor/absent due to
1158	BDSB_            	 	 	 	crowding.
1159	NGC_2358         	=	m	o	Sparse.
1160	NGC_2355         	=	 	 	PMs in center are poor/absent due to crowding.
1161	ESO_367-10       	=	 	 	Sparse.
1162	Basel_11A        	=	 	 	PMs in center are poor/absent due to crowding.
1163	FSR_1228         	=	 	 	Is seen through corona of NGC_2360.
1164	FSR_1376         	:	 	 	Shows spatial concentration, but neither clear CMD,
1164	FSR_1            	 	 	 	nor MED.
1165	NGC_2360         	=	 	 	
1166	Collinder_135    	=	 	 	Nearby srarse; center is shifted to 7.2990h,
1166	Colli            	 	 	 	-37.035d; a hole is around HD 57034 (K 8.233).
1167	FSR_1306         	=	 	 	
1168	Haffner_5        	=	 	 	
1169	ASCC_37          	=	 	 	
1170	ESO_559-02       	-	 	 	No cluster signature (even concentration) is seen.
1171	FSR_1377         	=	 	 	Sparse.
1172	Teutsch_49       	=	 	 	PMs in center are poor/absent due to crowding.
1173	NGC_2362         	=	 	 	PMs in center are poor/absent due to crowding.
1174	Bica_4           	=	 	 	Sparse.
1175	Ruprecht_15      	=	 	 	PMs in center are poor/absent due to crowding.
1176	FSR_1284         	=	 	 	
1177	Haffner_6        	=	 	 	
1178	NGC_2367         	=	 	 	PMs in center are poor/absent due to crowding.
1179	DBSB_12          	=	 	 	
1180	Berkeley_37      	=	 	 	Center is shifted to 7.3385h,-0.994d.
1181	NGC_2364         	-	s	o	
1182	FSR_1118         	=	 	 	Sparse.
1183	FSR_1255         	=	 	 	Sparse; PMs in center are poor/absent due to
1183	FSR_1            	 	 	 	crowding.
1184	Saurer_1         	=	 	 	
1185	Juchert_12       	:	 	 	Shows spatial concentration, but neither clear CMD,
1185	Juche            	 	 	 	nor MED.
1186	NGC_2368         	=	 	 	Sparse.
1187	FSR_1258         	=	 	 	Sparse.
1188	FSR_1138         	&	 	 	Coincides with Berkeley_77.
1189	Berkeley_77      	=	 	 	PMs in center are poor/absent due to crowding.
1190	King_23          	=	 	 	
1191	FSR_0944         	=	 	 	
1192	FSR_1083         	=	 	 	Sparse; poor RDP.
1193	Wit_3            	-	 	 	No signature of a cluster (even concentration) is
1193	Wit_3            	 	 	 	observed.
1194	FSR_1157         	=	 	 	
1195	FSR_1252         	=	 	 	Sparse.
1196	FSR_1470         	=	 	 	
1197	Haffner_7        	=	 	 	
1198	Ruprecht_16      	=	 	 	Sparse.
1199	Collinder_140    	=	 	 	Sparse; center is shifted to 7.4020h,-31.890d.
1200	Haffner_8        	=	r	o	Very sparse; center is shifted to 7.3862h,-12.308d.
1201	FSR_1440         	=	 	 	
1202	Ruprecht_17      	=	 	 	
1203	Berkeley_78      	=	 	 	
1204	FSR_1067         	&	 	 	Coincides with Berkeley_78.
1205	FSR_1293         	=	 	 	
1206	NGC_2374         	=	 	 	
1207	FSR_1297         	=	 	 	Strong and variable reddening; PMs in center are
1207	FSR_1            	 	 	 	poor/absent due to crowding, poor RDP.
1208	Ivanov_6         	=	 	 	PMs are poor/absent due to crowding.
1209	DBSB_11          	&	 	 	Coincides with Ivanov_6.
1210	FSR_1139         	=	 	 	
1211	Ruprecht_18      	=	 	 	
1212	FSR_1300         	&	 	 	Clump in corona of Ruprecht_18.
1213	NGC_2383         	=	 	 	PMs in center are poor/absent due to crowding;
1213	NGC_2            	 	 	 	overlaps with NGC_2384.
1214	Haffner_9        	=	 	 	
1215	FSR_1283         	=	 	 	
1216	NGC_2384         	=	 	 	Sparse; overlaps with NGC_2383.
1217	FSR_1142         	=	 	 	
1218	Ruprecht_19      	=	 	 	Center is shifted to 7.4305h,-21.563d.
1219	FSR_1270         	=	 	 	
1220	Waterloo_7       	=	 	 	
1221	FSR_1253         	=	 	 	
1222	Melotte_66       	=	 	 	
1223	Trumpler_6       	=	 	 	
1224	Ruprecht_20      	=	 	 	Sparse; center is shifted to 7.4428h,-28.800d.
1225	Ruprecht_21      	=	 	 	Sparse; center is shifted to 7.4500h,-37.525d.
1226	DC_3             	=	 	 	SIMBAD: [D2005c]
1227	ASCC_38          	=	 	 	
1228	NGC_2395         	=	r	o	Very sparse.
1229	Trumpler_7       	=	 	 	Sparse.
1230	IRAS_07255-2012-s	&	 	 	Part of IRAS_07255-2012.
1231	IRAS_07255-2012  	=	 	 	SIMBAD: Infra-Red source; sparse.
1232	NGC_2396         	=	r	o	Sparse.
1233	FSR_1275         	=	 	 	
1234	Czernik_29       	=	r	o	Sparse; overlaps with Haffner_10.
1235	FSR_1260         	=	 	 	
1236	NGC_2394         	-	s	o	
1237	Haffner_10       	=	 	 	Overlaps with Czernik_29; PMs in center are
1237	Haffn            	 	 	 	poor/absent due to crowding.
1238	ESO_559-13       	=	 	 	
1239	Haffner_24       	=	 	 	
1240	Ruprecht_22      	=	 	 	
1241	NGC_2401         	=	 	 	
1242	FSR_1400         	=	r	c	 Sparse.
1243	DBSB_6           	=	 	 	
1244	DBSB_5           	=	n	o	Mayer_3.
1245	Mayer_3          	&	 	 	Coincides with DBSB_5.
1246	Dolidze_26       	=	 	 	Very sparse.
1247	Waterloo_8       	-	s	o	No cluster signature (even concentration) is seen.
1248	Ruprecht_23      	=	 	 	
1249	Ivanov_7         	=	 	 	SIMBAD: Possible Globular Cluster;
1249	Ivano            	 	 	 	NKh: shows typical open cluster CMD.
1250	DBSB_1           	&	 	 	Coincides with Ivanov_7.
1251	Bochum_5         	=	r	o	Very sparse; poor; age has been strongly changed
1251	Bochu            	 	 	 	compared to COCD.
1252	FSR_1234         	=	 	 	
1253	Czernik_30       	=	 	 	Center is shifted to 7.5198h,-9.940d.
1254	Bochum_4         	=	 	 	NGC_2409; age has been strongly changed compared to
1254	Bochu            	 	 	 	COCD.
1255	DBSB_9           	=	 	 	PMs in center are poor/absent due to crowding;
1255	DBSB_            	 	 	 	overlaps with Bochum_6.
1256	FSR_1227         	=	 	 	
1257	Ruprecht_24      	=	 	 	
1258	Bochum_6         	:	 	 	Shows weak spatial concentration, but neither clear
1258	Bochu            	 	 	 	CMD, nor MED; probably part of DBSB_9.
1259	DBSB_4           	:	 	 	Shows spatial concentration, but neither clear CMD,
1259	DBSB_            	 	 	 	nor MED.
1260	FSR_1226         	=	r	o	Sparse.
1261	ASCC_39          	=	 	 	
1262	NGC_2413         	=	 	 	Center is shifted to 7.5510h,-12.990d; distance has
1262	NGC_2            	 	 	 	been strongly changed compared to COCD.
1263	NGC_2414         	=	 	 	Center is shifted to 7.5525h,-15.455d.
1264	ESO_429-02       	=	 	 	PMs in center are poor/absent due to crowding.
1265	Ruprecht_40      	=	 	 	
1266	ASCC_40          	=	 	 	Distance and reddening have been strongly changed
1266	ASCC_            	 	 	 	compared to COCD.
1267	FSR_1264         	=	 	 	Very sparse; poor RDP.
1268	FSR_1302         	=	 	 	Sparse.
1269	FSR_1243         	=	 	 	Center is shifted to 7.5753h,-15.935d.
1270	Teutsch_61       	=	 	 	Center is shifted to 7.5775h,-19.800d.
1271	Alessi_17        	=	 	 	Very sparse; poor.
1272	DBSB_10          	=	 	 	PMs in center are poor/absent due to crowding.
1273	Haffner_11       	=	 	 	
1274	DBSB_7           	=	 	 	Overlaps DBSB_8.
1275	DBSB_8           	&	 	 	Clump in DBSB_7.
1276	FSR_1268         	=	 	 	
1277	NGC_2421         	=	 	 	
1278	NGC_2422         	=	 	 	M_47; PMs in center are poor/absent due to crowding.
1279	Riddle_5         	=	 	 	PMs in center are poor/absent due to crowding.
1280	Ruprecht_25      	=	r	o	Sparse; poor RDP.
1281	Czernik_31       	=	 	 	Sparse.
1282	ESO_429-05       	=	 	 	Center is shifted to 7.6175h,-32.205d.
1283	NGC_2423         	=	 	 	PMs in center are poor/absent due to crowding.
1284	Alessi_18        	=	 	 	Is seen through Ruprecht_27.
1285	Ruprecht_26      	=	 	 	Reddening and age have been strongly changed
1285	Rupre            	 	 	 	compared to COCD.
1286	Ruprecht_27      	=	 	 	Sparse; Center is shifted to 7.6282h,-26.507d.
1287	Melotte_71       	=	 	 	Radii, distance, age have been strongly changed
1287	Melot            	 	 	 	compared to COCD.
1288	vdBergh-Hagen_4  	:	 	 	Shows weak spatial concentration, but neither clear
1288	vdBer            	 	 	 	CMD, nor MED.
1289	DBSB_14          	:	 	 	Shows spatial concentration, but neither clear CMD,
1289	DBSB_            	 	 	 	nor MED; PMs in center are poor/absent due to
1289	DBSB_            	 	 	 	crowding.
1290	NGC_2419         	=	g	o	
