#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	FSR 0948         	06 25 53	+15 51 39	IR	   4.0	 2330	 0.080	 9.000	   0.42	  -0.94	   85	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2225         	06 26 36	-09 38 18	r 	   2.8	 3200	 0.350	 9.110	   1.31	  -1.97	   57	K14	       	   	-0.380	  	2-1-m-* 	WEBDA	Lynga
P	NGC 2232         	06 27 15	-04 45 30	  	  53.0	  359	 0.030	 7.727	  -3.37	  -3.10	   22	K14	  26.60	  4	 0.320	  	        	WEBDA	Lynga
 	NGC 2224         	06 27 32	+12 39 20	  	  14.0	 2415	 1.000	 7.000	  -0.25	  -0.28	  276	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 79       	06 27 52	+05 31 40	IR	   8.0	     	      	      	  -3.73	  -0.07	   31	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 24          	06 28 44	-07 01 12	  	  42.0	  400	 0.140	 6.960	  -5.55	  -4.05	   12	K14	  15.66	  4	      	  	        	WEBDA	Lynga
 	NGC 2234         	06 29 20	+16 45 27	  	   8.0	 4800	 1.250	 7.700	  -0.76	  -2.41	  142	K14	       	   	-0.330	 1	        	WEBDA	Lynga
 	Alessi 53        	06 29 24	+09 10 49	  	   3.5	 4570	 0.800	 8.400	   0.58	  -1.96	   41	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2243         	06 29 34	-31 17 00	  	   5.0	 4458	 0.051	 9.032	  -0.49	   4.02	   89	K14	  59.84	  2	-0.420	13	        	WEBDA	Lynga
P	NGC 2236         	06 29 39	+06 49 48	  	   7.0	 2930	 0.479	 8.538	  -2.37	  -0.31	  184	K14	       	   	-0.300	13	        	WEBDA	Lynga
 	FSR 1031         	06 30 12	+03 23 36	IR	   2.8	 1791	 0.729	 8.635	   0.77	  -2.72	  149	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 96     	06 30 18	+02 52 00	  	  12.0	  962	 0.510	 7.031	   0.44	  -1.64	    1	K14	  12.00	  1	      	  	        	WEBDA	Lynga
 	Czernik 26       	06 30 48	-04 13 00	  	   5.0	 8872	 0.380	 9.000	   2.99	   0.05	   58	K14	       	   	-0.380	  	3-1-m-* 	WEBDA	Lynga
 	vdBergh 80       	06 30 50	-09 39 18	  	  12.0	 2100	 0.610	 6.700	  -3.45	 -11.64	   28	K14	       	   	      	  	1-2-p-n 	WEBDA	Lynga
 	Collinder 95     	06 30 51	+09 56 37	  	  27.0	  556	 0.010	      	  -0.74	  -1.17	  483	K14	 -11.00	  1	      	  	4-2-p-n 	WEBDA	Lynga
 	NGC 2239         	06 30 57	+04 58 09	  	  10.0	 3900	 1.100	 6.700	  -0.60	  -2.18	  116	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0979         	06 31 18	+11 04 51	IR	   1.9	 1933	 1.145	 8.700	   2.32	  -0.22	   97	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 97     	06 31 18	+05 55 00	  	  25.0	  630	 0.000	 8.000	  -1.62	  -1.32	  542	K14	 -14.70	  2	      	  	        	WEBDA	Lynga
 	Juchert 18       	06 31 28	+06 48 12	  	   2.1	 2290	 0.625	 9.020	  -1.81	  -2.04	   41	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0977         	06 31 51	+11 50 38	IR	   2.6	 1916	 0.583	 8.680	   3.15	   0.25	   88	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2244         	06 31 55	+04 56 30	v 	  29.0	 1660	 0.470	 6.280	  -0.65	   0.67	    5	K14	  30.67	 12	      	  	        	WEBDA	Lynga
 	FSR 0974         	06 32 41	+12 31 55	IR	  12.0	 2308	 0.573	 8.910	   1.04	   0.91	  202	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2240         	06 33 10	+35 15 00	n 	  11.0	 1551	 0.146	 9.200	  -1.60	  -2.16	  122	K14	  15.83	  1	 0.070	 1	        	WEBDA	Lynga
 	Berkeley 23      	06 33 30	+20 33 00	  	   4.0	 6918	 0.400	 8.900	   2.65	  -7.32	   48	K14	  48.60	  8	-0.420	 7	3-1-m-* 	WEBDA	Lynga
 	NGC 2250         	06 33 47	-05 05 18	  	   4.0	 1795	 0.480	 8.780	  -1.16	   0.70	   44	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Basel 8          	06 34 12	+08 05 00	  	  29.0	 1328	 0.370	 8.102	  -2.41	   1.52	  899	K14	  11.00	  1	      	  	        	WEBDA	Lynga
 	FSR 1063         	06 34 38	-00 16 01	IR	   5.0	 2032	 0.500	 8.860	  -0.66	  -2.36	   53	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2251         	06 34 38	+08 22 00	  	  10.0	 1329	 0.186	 8.427	  -1.13	  -0.17	  169	K14	  25.33	  3	-0.100	 2	        	WEBDA	Lynga
 	NGC 2252         	06 34 42	+05 22 00	  	  18.0	  900	 0.100	 8.840	   0.10	  -1.53	  410	K14	       	   	      	  	3-2-m-n 	WEBDA	Lynga
 	NGC 2254         	06 35 49	+07 40 24	  	   5.0	 2364	 0.398	 8.307	   0.53	   1.78	  110	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1065         	06 35 59	-00 40 04	IR	   0.6	 1551	 0.458	 8.790	   1.06	  -1.19	  112	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 426 26       	06 36 18	-30 51 30	cr	   5.0	 1240	 0.040	 9.000	   1.98	  -1.00	   35	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 1       	06 36 21	-14 08 49	  	  16.0	 1480	 0.170	 8.680	   0.49	  -0.66	  367	K14	       	   	-0.250	  	3-1-p-* 	WEBDA	Lynga
 	Collinder 104    	06 36 30	+04 49 00	  	  20.0	 2025	 0.833	 8.500	  -0.03	  -1.03	  336	K14	   6.33	  2	      	  	4-2-p-n 	WEBDA	Lynga
 	Basel 7          	06 36 36	+08 21 00	  	   5.0	 1684	 0.396	 8.033	   0.31	   0.47	   46	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 82       	06 36 40	+05 36 02	IR	   3.0	     	      	      	 -22.96	   6.51	    8	K14	       	   	      	  	        	WEBDA	Lynga
P	Trumpler 5       	06 36 42	+09 26 00	v 	  15.4	 2820	 0.620	 9.600	   0.77	   0.59	  503	K14	       	   	-0.403	 3	        	WEBDA	Lynga
P	vdBergh 1        	06 37 00	+03 04 00	  	   5.0	 1687	 0.710	 8.025	   3.76	  -4.78	    1	K14	  16.40	  1	      	  	        	WEBDA	Lynga
 	Collinder 106    	06 37 06	+05 57 00	  	  35.0	 1000	 0.120	 9.900	   0.75	  -1.11	 1498	K14	  35.66	  7	-0.260	 3	4-2-p-* 	WEBDA	Lynga
P	Collinder 107    	06 37 42	+04 44 00	  	  29.0	 1738	 0.540	 7.000	   0.37	  -1.29	  777	K14	  12.31	  8	      	  	        	WEBDA	Lynga
 	Berkeley 24      	06 37 47	-00 52 19	  	   7.0	 4700	 0.400	 9.340	  -0.85	   1.18	   82	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	NGC 2260         	06 38 03	-01 28 24	  	  20.0	 1985	 1.250	 7.000	  -0.64	  -2.10	  367	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2259         	06 38 21	+10 53 00	  	   3.0	 3311	 0.590	 8.500	   2.79	  -0.96	   51	K14	       	   	 0.070	  	2-1-p-n 	WEBDA	Lynga
P	Collinder 110    	06 38 24	+02 01 00	  	  18.0	 1950	 0.500	 9.150	  -1.31	  -3.28	  491	K14	  38.70	 29	-0.020	 6	        	WEBDA	Lynga
 	Collinder 111    	06 38 42	+06 54 00	nf	   3.0	 1191	 0.062	 7.700	   1.19	   0.16	   31	K14	  32.00	  1	      	  	        	WEBDA	Lynga
 	NGC 2262         	06 39 38	+01 08 36	  	   5.0	 3600	 0.550	 9.000	  -0.71	  -0.76	  103	K14	       	   	-0.380	  	2-1-m-* 	WEBDA	Lynga
 	FSR 1053         	06 39 56	+01 32 48	IR	   1.6	 1202	 0.312	 8.800	  -2.80	  -6.39	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0975         	06 40 00	+13 17 58	IR	   4.5	 4626	 0.541	 9.100	   2.11	   2.86	   77	K14	       	   	      	  	        	WEBDA	Lynga
 	vdBergh 83       	06 40 00	-27 19 00	  	  25.0	 1925	 0.552	 9.350	   0.64	   1.91	  302	K14	       	   	      	  	3-2-p-n 	WEBDA	Lynga
P	NGC 2264         	06 40 58	+09 53 42	v 	  39.0	  667	 0.051	 6.954	  -0.46	  -2.87	  726	K14	  24.69	  9	-0.150	  	        	WEBDA	Lynga
 	Berkeley 25      	06 41 00	-16 31 00	  	   5.0	11400	 0.110	 9.700	  -3.68	  -4.17	   44	K14	 134.30	  4	-0.200	 4	1-2-m-* 	WEBDA	Lynga
 	Ruprecht 2       	06 41 01	-29 33 00	nf	   3.0	 3161	 0.625	 8.945	  -9.75	   5.84	    7	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	NGC 2265         	06 41 41	+11 54 18	  	  12.0	 2160	 0.480	 8.480	   0.00	  -1.29	  223	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1077         	06 41 56	-00 53 48	IR	   2.5	 1298	 0.416	 8.935	   0.83	  -0.07	  116	K14	       	   	      	  	        	WEBDA	Lynga
 	DC 1             	06 42 01	-12 58 27	  	   0.7	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 3       	06 42 07	-29 27 15	cr	   4.0	 1100	 0.000	 9.180	  -0.87	   5.57	   22	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Dolidze 23       	06 42 55	+00 02 46	d 	  12.7	  625	 0.100	      	  -0.69	  -1.81	  367	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	Alessi 15        	06 43 04	+01 40 19	  	   0.9	 1599	 0.270	 9.250	   1.29	   3.31	   16	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2269         	06 43 17	+04 37 30	  	   3.0	 1687	 0.398	 8.416	   5.05	   1.49	   11	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2266         	06 43 19	+26 58 12	  	   5.0	 3000	 0.200	 8.800	   0.93	  -5.03	  114	K14	 -16.00	  4	-0.380	 3	        	WEBDA	Lynga
 	Alessi 16        	06 43 35	+02 10 24	  	   0.5	 1191	 0.270	 9.050	  -0.98	  -2.14	    9	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 13       	06 43 55	+01 24 17	  	   6.0	 2780	 0.670	 7.480	  -0.92	  -1.64	   86	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2270         	06 43 57	+03 28 42	n 	  14.0	 1400	 0.060	 8.640	   0.21	  -1.99	  208	K14	  40.00	  1	      	  	        	WEBDA	Lynga
P	Dolidze 24       	06 44 41	+01 41 05	OC	  18.8	 1261	 0.146	 8.450	  -0.57	  -1.24	  510	K14	       	   	      	  	        	WEBDA	Lynga
 	Patchick 90      	06 44 43	-00 32 22	  	   3.0	 6310	 0.410	 8.950	   9.39	   1.43	   33	K14	       	   	      	  	        	WEBDA	Lynga
P	Dolidze 25       	06 45 06	+00 18 00	  	  20.0	 6800	 0.800	 6.800	  -0.29	  -1.79	  596	K14	  71.00	   	      	  	        	WEBDA	Lynga
 	SAI 69           	06 45 28	-11 47 40	  	   3.0	 7140	 0.350	 9.100	   0.02	 -10.19	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 25          	06 45 32	+24 36 00	  	  25.2	 1400	 0.160	 8.860	  -2.06	  -3.99	  619	K14	  21.50	  1	      	  	        	WEBDA	Lynga
P	NGC 2287         	06 46 01	-20 45 24	  	  39.0	  710	 0.010	 8.400	  -0.84	  -0.56	 1738	K14	  23.30	  5	-0.230	 3	        	WEBDA	Lynga
 	Collinder 115    	06 46 30	+01 46 00	  	  10.0	 1917	 0.230	 8.550	  -1.00	  -1.50	  221	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	vdBergh 85       	06 46 54	+01 20 00	  	   4.0	 1641	 1.920	 7.850	   0.17	   1.23	   39	K14	       	   	      	  	1-2-p-* 	WEBDA	Lynga
 	Dolidze 49       	06 47 04	-00 00 25	OC	   2.2	 2398	 0.625	 8.330	  -1.06	  -2.17	   23	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2286         	06 47 40	-03 08 54	  	  14.0	 2600	 0.660	 8.300	   2.08	  -2.48	    2	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2281         	06 48 17	+41 04 42	  	  25.0	  558	 0.063	 8.554	  -2.48	  -6.76	  330	K14	  19.05	  2	 0.130	  	        	WEBDA	Lynga
P	Bochum 2         	06 48 54	+00 23 00	  	   1.5	 2661	 0.831	 6.665	  -0.05	  -1.68	   21	K14	  66.30	   	      	  	        	WEBDA	Lynga
 	Ruprecht 4       	06 48 54	-10 32 00	  	   3.0	 4700	 0.300	 8.900	   0.94	  -4.30	   52	K14	  47.50	  3	-0.090	 3	3-2-m-* 	WEBDA	Lynga
 	Berkeley 75      	06 49 01	-23 59 48	  	   4.0	 9100	 0.040	 9.600	  -4.56	  -9.82	   16	K14	  94.60	  1	-0.220	 1	2-2-p-* 	WEBDA	Lynga
 	Berkeley 26      	06 50 18	+05 45 00	  	   4.0	12589	 0.750	 9.600	   2.70	  -1.44	   27	K14	  68.00	  6	-0.350	 5	3-1-m-* 	WEBDA	Lynga
 	ASCC 26          	06 50 24	+07 15 00	  	  20.4	  800	 0.130	 8.090	  -0.73	  -3.14	  463	K14	   8.00	  1	      	  	        	WEBDA	Lynga
 	FSR 1025         	06 50 30	+06 36 14	IR	   1.0	 2095	 0.291	 8.600	  -0.41	  -3.38	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 309 03       	06 50 39	-42 23 24	  	   6.0	 1753	 0.480	 8.800	  -0.20	   1.93	   47	K14	       	   	      	  	4-2-vp-*	WEBDA	Lynga
 	Berkeley 27      	06 51 21	+05 46 07	  	   2.0	 5035	 0.050	 9.300	  -4.20	  -1.52	   21	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
P	NGC 2301         	06 51 45	+00 27 36	  	  14.0	  870	 0.030	 8.200	  -0.83	  -2.76	  355	K14	  13.54	  1	 0.060	 2	        	WEBDA	Lynga
P	NGC 2302         	06 51 55	-07 05 00	  	   5.0	 1500	 0.230	 7.080	  -2.66	  -1.86	   61	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 28      	06 52 12	+02 56 00	  	   3.0	 2557	 0.761	 7.846	   1.68	  -1.54	   36	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1051         	06 52 13	+03 38 30	IR	   2.0	 1180	 0.437	 8.790	   0.13	  -1.92	  131	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi 59        	06 52 19	+02 11 27	  	   2.5	 3500	 0.590	 7.600	   0.85	  -2.37	   33	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 149     	06 52 30	-23 40 00	d 	   5.0	 2362	 0.416	 8.750	  -0.30	   1.31	   54	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	FSR 1085         	06 53 11	-00 11 31	IR	   4.0	 1429	 0.079	 8.735	  -0.03	  -2.51	   72	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 29      	06 53 18	+16 55 00	  	   6.0	14871	 0.157	 9.025	  -2.26	  -5.99	   75	K14	  24.80	  2	-0.310	 6	        	WEBDA	Lynga
 	ASCC 27          	06 53 53	-04 23 24	  	  24.0	 1200	 0.090	 8.750	  -0.78	   0.69	  546	K14	       	   	      	  	        	WEBDA	Lynga
 	DC 4             	06 54 03	-13 34 03	  	   0.7	 2304	 0.583	 8.700	   4.88	  -3.34	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1029         	06 54 04	+06 43 39	IR	   1.2	 1905	 0.312	 8.930	   0.27	  -8.05	   18	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 28          	06 54 04	-00 10 12	  	  36.0	  800	 0.050	 8.340	  -1.68	  -1.10	   18	K14	  22.70	  1	      	  	        	WEBDA	Lynga
 	ASCC 29          	06 54 18	-01 39 00	  	  26.4	  750	 0.050	 8.060	   2.06	  -3.38	 1019	K14	  13.50	  1	      	  	        	WEBDA	Lynga
 	NGC 2306         	06 54 29	-07 12 12	n 	  12.0	 1200	 0.050	 8.850	   2.19	  -3.86	  216	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2304         	06 55 13	+17 58 57	  	  10.0	 4400	 0.100	 8.800	  -1.49	  -6.24	  197	K14	       	   	-0.320	  	2-1-m-* 	WEBDA	Lynga
 	Ruprecht 5       	06 55 14	-18 36 00	  	   2.0	 4712	 0.416	 9.150	   1.37	   1.45	   27	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	SAI 72           	06 55 48	+00 13 37	  	   5.0	 3150	 0.820	 8.500	   1.47	  -1.06	   54	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 6       	06 56 00	-13 17 00	d 	   1.0	 7691	 0.430	 9.500	   0.66	   1.21	   36	K14	       	   	-0.380	  	3-1-p-* 	WEBDA	Lynga
P	NGC 2309         	06 56 03	-07 10 30	  	   5.0	 2511	 0.350	 8.400	   3.46	  -4.53	  101	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 121    	06 56 20	-24 43 46	  	  60.0	 1100	 0.040	 7.080	  -3.87	   4.08	   19	K14	  31.35	  2	      	  	        	WEBDA	Lynga
 	ASCC 30          	06 57 00	-06 12 36	  	  31.2	  800	 0.150	 8.200	  -2.89	   0.60	   16	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1144         	06 57 16	-06 37 12	IR	   0.6	 1737	 0.312	 8.180	   0.84	   0.81	  131	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 31      	06 57 36	+08 16 00	  	   5.0	 8272	 0.080	 9.313	  -2.43	  -2.33	   77	K14	  55.70	  2	-0.400	17	        	WEBDA	Lynga
P	Berkeley 33      	06 57 42	-13 13 00	  	   3.0	 6000	 0.360	 8.900	  -1.36	   4.36	   31	K14	  76.60	  5	-0.260	 5	        	WEBDA	Lynga
P	Berkeley 30      	06 57 42	+03 13 00	  	   3.0	 4790	 0.500	 8.480	  -0.84	  -3.47	   56	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2311         	06 57 47	-04 36 42	  	   6.0	 2290	 0.330	 8.600	  -1.48	   3.31	   99	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 32      	06 58 06	+06 26 00	  	   6.0	 3078	 0.150	 9.700	  -1.41	  -0.86	  117	K14	 105.20	 83	-0.290	 9	        	WEBDA	Lynga
 	FSR 1080         	06 58 16	+00 51 54	IR	   2.4	 1753	 0.562	 8.370	  -1.99	  -4.54	  122	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2312         	06 58 47	+10 17 42	  	   7.6	 2245	 0.160	 8.520	  -3.54	  -2.32	  119	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1163         	06 59 19	-09 05 50	IR	   1.5	 1706	 0.437	 9.150	   3.49	  -1.42	   28	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2318         	06 59 27	-13 41 54	  	  20.0	 1335	 0.650	 7.700	  -1.04	   0.17	  594	K14	       	   	      	  	        	WEBDA	Lynga
 	Ivanov 9         	06 59 43	-04 04 00	  	   1.0	  736	 0.020	 7.900	   1.89	   1.44	    7	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1171         	07 00 13	-10 19 14	IR	   2.0	 4110	 0.650	 9.500	   4.70	  -1.26	   44	K14	       	   	      	  	        	WEBDA	Lynga
 	Wit 1            	07 00 21	-05 49 36	  	      	 1952	 0.458	 6.350	  -0.38	  -1.97	   47	K14	   5.00	  1	      	  	        	WEBDA	Lynga
 	Berkeley 34      	07 00 23	-00 13 56	  	   2.0	 7280	 0.450	 9.450	  -2.68	  -2.16	   15	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	Ferrero 10       	07 00 27	-03 00 36	  	  10.0	     	      	      	   0.22	   5.57	  179	K14	       	   	      	  	        	WEBDA	Lynga
P	Tombaugh 1       	07 00 29	-20 34 00	  	   5.0	 4169	 0.303	 8.980	  -5.31	   5.17	  118	K14	  81.10	  6	      	  	        	WEBDA	Lynga
 	Ivanov 4         	07 00 32	-08 52 00	  	   4.0	  717	 0.210	 7.000	   6.11	 -17.42	   25	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2319         	07 00 32	+03 02 30	n 	  18.0	 1100	 0.050	 8.610	  -1.09	  -3.09	  413	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 31          	07 00 54	+03 30 00	  	  20.4	  600	 0.150	 8.630	  -1.08	  -1.47	  532	K14	       	   	      	  	        	WEBDA	Lynga
 	Wit 2            	07 01 27	-03 07 03	  	      	 2830	 0.437	 8.785	  -5.15	   0.10	  177	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 8       	07 01 42	-13 35 00	d 	   3.0	 2190	 0.458	 8.845	   5.42	 -12.10	    6	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Alessi 33        	07 01 59	-26 30 12	  	  60.0	  750	 0.080	 8.180	  -1.47	   2.32	 3371	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 9       	07 02 07	-21 55 00	nf	   1.0	 3434	 0.687	 8.795	  -5.31	   5.85	   15	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi 60        	07 02 30	-01 07 51	  	   5.0	 2906	 0.310	 8.400	  -0.96	  -1.06	  103	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2323         	07 02 42	-08 23 00	  	  14.0	  950	 0.200	 8.000	   0.86	  -3.06	  377	K14	  14.70	  6	      	  	        	WEBDA	Lynga
 	NGC 2348         	07 03 03	-67 24 42	p 	  10.0	 1070	 0.130	 9.260	  -3.37	   6.47	   60	K14	       	   	      	  	        	WEBDA	Lynga
P	Tombaugh 2       	07 03 05	-20 49 00	  	   3.0	 6080	 0.300	 9.010	  -1.72	   3.86	   65	K14	 120.90	 13	-0.310	13	        	WEBDA	Lynga
 	ASCC 33          	07 03 11	-25 03 00	  	 108.0	  800	 0.050	 7.260	  -3.78	   3.78	   62	K14	  16.15	  2	-0.166	 3	        	WEBDA	Lynga
 	Czernik 27       	07 03 12	+06 25 00	  	   3.0	 4285	 0.070	 9.050	  -2.32	  -1.94	   41	K14	       	   	-0.380	  	2-2-p-* 	WEBDA	Lynga
P	Bochum 3         	07 03 24	-05 03 00	  	   4.0	 1762	 0.240	 7.890	   0.27	  -0.62	   74	K14	       	   	      	  	        	WEBDA	Lynga
 	vdBergh 92       	07 03 54	-11 32 00	  	   3.0	 1500	 0.250	 7.590	  -2.10	   3.87	   26	K14	  17.50	  4	      	  	4-2-p-n 	WEBDA	Lynga
P	NGC 2324         	07 04 07	+01 02 42	  	  10.6	 3800	 0.250	 8.650	  -2.60	   1.35	  316	K14	  41.81	  5	-0.170	 7	        	WEBDA	Lynga
 	Auner 1          	07 04 16	-19 45 00	e 	   6.0	 8900	 0.320	 9.510	  -1.85	   0.45	   85	K14	       	   	-0.500	  	2-2-m-* 	WEBDA	Lynga
 	FSR 1150         	07 04 37	-06 36 38	IR	   3.0	 5664	 0.729	 8.800	  -0.91	  -1.63	   56	K14	       	   	      	  	        	WEBDA	Lynga
 	BDSB96           	07 05 18	-12 19 44	e 	  22.0	 1400	 0.370	 6.700	  -1.38	  -0.69	  510	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 150     	07 05 55	-28 25 00	  	   2.0	 1789	 0.271	 8.700	  -1.60	   1.17	   65	K14	       	   	      	  	2-3-p-* 	WEBDA	Lynga
 	Haffner 4        	07 06 12	-14 59 00	  	   5.0	 4500	 0.500	 8.700	   0.25	  -0.39	   72	K14	       	   	-0.380	  	3-2-m-* 	WEBDA	Lynga
 	ESO 427 32       	07 06 14	-30 10 00	  	  10.0	 1786	 0.125	 9.105	   0.98	   1.98	  114	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
