TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
35636165,35636165.01,2776.01,,,,,,,,PC,,13.3684,0.015,102.219197,-16.780503,-2.487,0.035,1.551,0.038,2458470.307989,,3.459203,,6.859044,,6297.5,,2.8537,,,,0.0,,0.07926,,,,15.888342389464604,,,,,,,,,,,,,,,,,,,,1444.65,42.655,7911.0,122.0,4.18797,,1.8335,,2021-02-08 16:07:01,olmschenk,,93948,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
35703676,35703676.01,,,,,,,,,PC,,12.2385,0.008,23.796164,-0.887365,2.736,0.091,-26.866,0.062,2458382.7897,0.0015,1.7303400000000002,0.00016,7.179774,,6591.0,,0.067,0.006999999999999999,80.12,2.31,0.88,0.02,0.08199999999999999,0.01,5.14,1.14,8.24,1.49,,,,,,,0.86,0.64,,,,,,,,,,,319.531,4.266,5434.0,133.909,4.48679,0.08472610000000001,0.921516,0.053628199999999994,2020-08-10 07:20:18,montalto,,29367,"new CTOI, Montalto et al. (2020)"
36595388,36595388.01,,,,,,,,,PC,,14.2346,0.035,250.122387,-49.051126000000004,0.95,0.11199999999999999,-4.699,0.075,2458630.87361759,0.00395223,1.7381148999999998,0.0005419,75.656699,27.711199,67310.0,25200.0,4.288,0.384,67.9,2.5,0.993,0.12,0.25944,0.06867000000000001,2.64,0.14,52.26,15.68,,,,,,,,,,,,,,,,,,,993.873,80.83,5970.0,122.0,3.94657,,1.8469,,2020-04-13 10:41:06,bouma,tfopwg,18718,"10 Myr EB or HJ. PMS K dwarf host (NGC 6193, CG18)."
36887038,36887038.01,,,,,,,,,PC,,10.0907,0.006,229.99602400000003,-6.2987589999999996,-23.61,0.092,50.41,0.08900000000000001,2459701.669,0.005,,,4.351654,0.543004,4000.0,500.0,3.7,0.5,,,,,,,,,4.9,0.3,,,,,,,,,,,,,,,,,,,61.1094,0.2613,4443.0,125.413,4.583069999999999,0.0994234,0.708024,0.058861800000000006,2022-07-02 23:51:24,wzhou,,416746,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
37117064,37117064.01,4706.01,,,,,,,,PC,,11.4558,0.006,90.488285,-29.136422999999997,25.37,2.0,-27.01,2.0,2458483.1,0.1,,,12.009271,0.434381,11000.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.627,,5459.0,,,,1.01171,,2020-12-21 12:21:35,brahm,,92669,WINE single transit
37167097,37167097.01,,,,,,,,,PC,,11.7504,0.006,98.188232,-0.874727,-6.962000000000001,0.068,-7.727,0.064,2458470.11,,1.98,,0.9101309999999999,,837.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.04900000000004,9.0875,6144.0,173.025,4.1551599999999995,0.0851197,1.49491,0.07566339999999999,2020-12-30 06:38:53,chiarello,,92821,All info obtained using the LightKurve framework
37497171,37497171.01,,,,,,,,,PC,,9.5645,0.006,92.61927800000001,-25.892286,-1.91,0.09699999999999999,-25.595,0.127,2458468.2828,0.006999999999999999,0.6361899999999999,0.00033999999999999997,0.9015350000000001,,830.0,,0.079,0.009000000000000001,89.96,0.0,0.0,0.24,0.025,0.003,2.62,0.21,2.49,0.46,,,,,,,0.84,0.29,,,,,,,,,,,96.1868,0.75345,5480.0,128.05,4.49876,0.082045,0.913665,0.049582999999999995,2020-08-10 07:20:18,montalto,,29324,"new CTOI, Montalto et al. (2020)"
37652870,37652870.01,,,,,,,,,PC,,11.2532,0.006,2.198134,-7.864097999999999,37.510999999999996,0.096,-95.71600000000001,0.057,2459450.113,0.01,,,3.795847,0.130296,3490.0,120.0,3.2,2.314,,,,,,,,,4.646,0.081,,,,,,,,,,,,,,,,,,,116.911,0.7135,4669.0,120.914,4.59578,0.0906743,0.719333,0.0514021,2021-10-25 06:22:19,vogl,,101174,Found with our in-house single transit finder; Sector 42
37692356,37692356.01,,,,,,,,,PC,,11.151,0.006,135.744877,-25.880716,-8.748,0.054000000000000006,20.701,0.046,2458519.47,,2.7,,0.139971,,128.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.846,2.38,5877.0,161.124,4.37897,0.0778956,1.1041299999999998,0.0516381,2021-05-04 10:10:10,chiarello,,96880,"Camera 2. CCD 3, Column 1887, Row 1839, Sector 8, Possible binary system"
37777274,37777274.01,,,,,,,,,PC,,11.5143,0.006999999999999999,65.178622,-9.511755,6.401,0.04,2.1069999999999998,0.03,2458438.2651,0.0024,1.35174,0.00021,5.039723,,4631.0,,0.081,0.006,66.09,2.79,0.99,0.1,0.08800000000000001,0.06,2.43,0.3,18.33,13.47,,,,,,,0.15,0.07,,,,,,,,,,,521.813,9.18,5835.0,128.749,3.89816,0.0769675,1.90786,0.0960303,2020-08-10 07:20:18,montalto,,29383,"new CTOI, Montalto et al. (2020)"
37862966,37862966.01,2581.01,,,,,,,,PC,,12.9754,0.006999999999999999,65.854872,-10.471779,17.538,0.033,0.857,0.024,2458439.9354580003,,3.583668,,5.604243,,5148.4,,3.1898,,,,0.0,,0.06431,,,,8.462236785437389,,,,,,,,,,,,,,,,,,,,515.179,6.476,5450.0,122.54799999999999,4.3491,0.07970010000000001,1.07981,0.058271300000000005,2021-02-08 16:07:01,olmschenk,,93949,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
38129218,38129218.01,,,,,,,,,PC,,11.6238,0.009000000000000001,68.423654,-10.840927,4.665,0.076,-9.089,0.055999999999999994,2458437.0507,0.0039,2.40172,0.00057,3.225079,,2966.0,,0.078,0.01,77.09,2.06,0.97,0.12,0.067,0.073,4.35,0.95,10.22,11.7,,,,,,,0.27,0.2,,,,,,,,,,,473.291,13.774000000000001,6385.0,134.89,4.25518,0.0922326,1.3965299999999998,0.07742710000000001,2020-08-10 07:20:18,montalto,,29388,"new CTOI, Montalto et al. (2020)"
38399060,38399060.01,2692.01,,,,,,,,PC,,13.3717,0.008,54.095284,-9.374473,12.329,0.049,-1.625,0.045,2458411.72249,,3.652303,,22.116742000000002,,20164.2,,3.5572,,,,5.0,,4.1128,,,,13.056383043777368,,,,,,,,,,,,,,,,,,,,472.63199999999995,6.7335,5343.0,122.0,4.55122,,0.8420129999999999,,2021-02-08 16:07:01,olmschenk,,93950,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
38815574,38815574.01,,,,,,,,,PC,,11.1562,0.006,68.111858,-63.573468000000005,-0.071,0.063,6.017,0.057,2458314.2180000003,0.0033,20.42942,0.00028,3.6204449999999997,,3329.0,,0.09,0.006,87.73,0.27,1.03,0.12,0.096,0.13,26.09,3.43,19.36,27.08,,,,,,,0.81,0.36,,,,,,,,,,,467.99699999999996,5.914,6057.92,114.833,3.9584,0.0797272,1.8465900000000002,0.0834975,2020-08-10 07:20:18,montalto,,29520,"new CTOI, Montalto et al. (2020)"
38965512,38965512.01,2615.01,,,,,,,,PC,,13.2052,0.006,11.477733,-66.833497,30.448,0.026000000000000002,-11.015,0.024,2458327.555673,,2.2688650000000004,,12.828548,,11746.0,,3.0397,,,,0.209,,0.09897,,,,12.763763117376635,,,,,,,,,,,,,,,,,,,,639.15,6.56,5690.0,122.0,4.37675,,1.0785,,2021-02-08 16:07:01,olmschenk,,93951,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
39018208,39018208.01,,,,,,,,,PC,,11.1032,0.006,12.089468,-66.160258,-2.821,0.042,3.22,0.037000000000000005,2458327.9262,,6.6458330000000005,,6007.623652,,996046.784046854,,2.93333333333333,,,,,,,,,,10.5341899780203,,,,,,,,,,,,,,,,,,,,399.55199999999996,3.6405,6081.5,116.22399999999999,4.08411,0.07719619999999999,1.60484,0.0737939,2019-06-06 03:40:31,lipponen,,3787,sector1
39018208,39018208.02,,,,,,,,,PC,,11.1032,0.006,12.089468,-66.160258,-2.821,0.042,3.22,0.037000000000000005,2458331.1013,,6.660417,,3933.9761740000004,,973306.253579002,,2.2333333333333303,,,,,,,,,,27.3735196484059,,,,,,,,,,,,,,,,,,,,399.55199999999996,3.6405,6081.5,116.22399999999999,4.08411,0.07719619999999999,1.60484,0.0737939,2019-06-06 03:40:31,lipponen,,3787,sector1
39218269,39218269.01,2366.01,,,,,,,,PC,,11.8402,0.006,88.505022,-3.639907,8.71,0.062,22.471,0.062,2458451.5814,0.0039,17.170579999999998,,3.9124339999999997,,3597.0,,0.17800000000000002,0.017,86.89,0.69,0.91,0.03,0.065,0.008,16.84,4.57,14.53,3.16,,,,,,,0.31,0.27,,,,,,,,,,,439.569,9.183,6049.74,143.615,3.86709,0.10490999999999999,2.04765,0.17799,2020-08-10 07:20:18,montalto,,29372,"new CTOI, Montalto et al. (2020)"
39291805,39291805.01,,,,,,,,,PC,,15.2969,0.008,88.71641899999999,-0.048433,-3.443,0.107,4.328,0.12,2458469.0330000003,0.009000000000000001,7.1719,0.0057,39.920049,,36100.0,,3.6839999999999997,,87.1,1.2,0.69,0.21,0.19,0.064,14.5,0.6,23.5,7.9,,,,,,,,,,,,,,,,,,,1083.83,80.49,5397.0,128.0,4.30636,,1.12829,,2020-11-03 04:43:57,nardiello,,36656,"new CTOI likely member of NGC 2112     , PATHOS-03 in Nardiello et al. (2020)"
39414571,39414571.01,2364.01,,,,,,,,PC,,11.5521,0.006,89.130026,-5.01203,12.306,0.068,-15.424000000000001,0.063,2458467.3109999998,0.0012,4.02011,0.00037,9.681113999999999,,8877.0,,0.11599999999999999,0.004,89.73,0.0,0.06,0.18,0.085,0.01,11.92,0.43,8.7,1.57,,,,,,,1.98,0.34,,,,,,,,,,,219.614,1.702,5216.0,131.255,4.44285,0.08709700000000001,0.9371659999999999,0.056628099999999994,2020-08-10 07:20:18,montalto,,29376,"new CTOI, Montalto et al. (2020)"
39724477,39724477.01,2729.01,,,,,,,,PC,,12.263,0.006,90.095814,-3.7573260000000004,4.574,0.075,5.321000000000001,0.081,2458469.452145,,4.035343,,26.872605,,24446.8,,2.3741,,,,0.561,,0.14649,,,,13.142244908656107,,,,,,,,,,,,,,,,,,,,245.949,3.667,5240.22,100.821,4.63537,0.124589,0.7538060000000001,0.09097469999999999,2021-02-08 16:07:01,olmschenk,,93952,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
41896812,41896812.01,,,,,,,,,PC,,10.7553,0.006999999999999999,21.443316,-39.936292,29.155,0.035,-2.636,0.042,2458354.2466,,1.259028,,68.700437,,61315.1141578699,,3.46666666666667,,,,,,,,,,48.1217279577235,,,,,,,,,,,,,,,,,,,,388.085,4.926,6114.0,138.455,3.9971300000000003,0.0817107,1.7816400000000001,0.0845278,2019-12-29 08:24:43,lipponen,,8409,new CTOI
41896812,41896812.02,,,,,,,,,PC,,10.7553,0.006999999999999999,21.443316,-39.936292,29.155,0.035,-2.636,0.042,2458354.8619,,1.2631940000000002,,440.260195,,333353.010667622,,3.43333333333333,,,,,,,,,,112.204334424375,,,,,,,,,,,,,,,,,,,,388.085,4.926,6114.0,138.455,3.9971300000000003,0.0817107,1.7816400000000001,0.0845278,2019-12-29 08:24:43,lipponen,,8409,new CTOI
42524156,42524156.01,,,,,,,,,PC,,10.6032,0.013000000000000001,256.888176,-35.503561,1.089,0.09,-3.182,0.062,2458631.474,0.005,10.013,0.0025,17.098561,,15625.0,,4.052,,84.0,1.6,0.94,0.04,0.125,0.024,12.0,1.4,39.1,9.5,,,,,,,,,,,,,,,,,,,850.4889999999999,37.6635,8776.0,209.46,3.64517,0.0726428,3.69541,0.185146,2020-11-03 04:43:57,nardiello,,36657,"new CTOI likely member of ASCC 88      , PATHOS-04 in Nardiello et al. (2020)"
42980456,42980456.01,,,,,,,,,PC,,10.2471,0.006,287.40268399999997,32.952963000000004,0.019,0.055999999999999994,-0.742,0.061,2459771.2005,0.0021,1.44544,0.0002,1.086279,0.217169,1000.0,200.0,1.2,0.5,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,434.959,7.0205,7809.0,133.767,4.20311,0.0792988,1.7840900000000002,0.0596985,2022-09-16 23:42:17,wzhou,,419282,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
43475220,43475220.01,2703.01,,,,,,,,PC,,13.3652,0.006999999999999999,74.825739,-7.383684,4.82,0.043,-6.007000000000001,0.038,2458440.063718,,18.520155,,1.464995,,1348.4,,3.5184,,,,0.9329999999999999,,0.036719999999999996,,,,3.8682201819234083,,,,,,,,,,,,,,,,,,,,558.9069999999999,8.5655,5435.0,122.0,4.44701,,0.964691,,2021-02-08 16:07:01,olmschenk,,93953,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
43785616,43785616.01,,,,,,,,,PC,,11.1602,0.006,77.495264,-10.2808,-4.0,2.3,-15.5,2.3,2459175.208,0.001,17.91,0.002,25.130243,0.358352,22880.0,330.0,7.667000000000001,0.133,,,,,,,,,19.727999999999998,0.142,,,,,,,,,,,,,,,,,,,263.878,,5925.0,,,,1.19343,,2021-02-05 04:44:07,steuer,,93834,Found with our in-house finder; Sector 32
44669739,44669739.01,,,,,,,,,PC,,14.9129,0.006999999999999999,59.891346,-28.249664000000003,-28.301,0.062,16.204,0.087,2458438.0304763727,0.03723602746470075,2.4109665283733905,0.011394807528823249,12.700371,0.117221,11629.32434047581,107.95831828399211,0.9021547065343442,,,,0.6063673301282515,0.04429653600473391,0.11291444945424678,0.003990823310242066,18.943895433595266,0.5335148305283937,2.9053162496083447,0.10268485449473144,,,,,,,,,0.020775630979070217,0.0005851017959728832,,,,,,,,,99.4603,0.4739,3494.0,157.0,5.00599,0.015606,0.23589200000000002,0.00739209,2021-04-06 15:01:02,feliz,,96013,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
45357107,45357107.01,,,,,,,,,PC,,12.1886,0.006,148.048807,-38.698433,6.031000000000001,0.064,-22.54,0.086,2458542.091,0.0061,2.17722,0.0008300000000000001,5.697667,,5234.0,,0.20600000000000002,0.013000000000000001,75.43,3.33,0.69,0.07,0.07400000000000001,0.018000000000000002,2.76,0.26,12.42,3.74,,,,,,,0.08,0.04,,,,,,,,,,,517.43,13.549000000000001,5685.0,131.283,4.06901,0.0798683,1.53706,0.08324619999999999,2020-08-10 07:20:18,montalto,,29460,"new CTOI, Montalto et al. (2020)"
45896295,45896295.01,2921.01,,,,,,,,PC,,12.8854,0.006,131.49821599999999,-57.97063299999999,-4.986000000000001,0.032,0.248,0.027000000000000003,2458520.295789,,3.00452,,8.329062,,7642.0,,3.3529,,,,0.0,,0.08031,,,,13.669048636666412,,,,,,,,,,,,,,,,,,,,706.87,7.765,6302.0,128.30700000000002,4.33517,0.0890056,1.2536100000000001,0.0562362,2021-02-08 16:07:01,olmschenk,,93954,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
46029346,46029346.01,,,,,,,,,PC,,11.7803,0.006,131.826478,-57.190515000000005,-8.353,0.049,2.456,0.045,2458545.00952228,0.00295224,1.38134931,0.00030061,49.900622999999996,33.037085,44920.0,29970.0,1.5119999999999998,0.353,82.9,4.8,0.7979999999999999,0.5820000000000001,0.21169000000000002,0.09997,6.47,1.77,25.45,12.08,,,,,,,,,,,,,,,,,,,359.347,3.3135,6089.0,133.91299999999998,4.41046,0.08337910000000001,1.10219,0.053404599999999997,2020-01-03 11:21:12,bouma,tfopwg,8521,"Cand HJ, Theia 163 member (60 Myr; KC19). Deep transit. Multisector."
46627823,46627823.01,,,,,,,,,PC,FP,11.0395,0.008,85.181703,-17.545747,22.951999999999998,0.05,8.068999999999999,0.057999999999999996,2458464.5086,0.0014,6.0052,0.0005,17.436123000000002,,15931.0,,0.237,0.004,86.21,0.78,0.53,0.05,0.122,0.004,7.97,0.3,21.82,1.79,,,,,,,0.27,0.04,,,,,,,,,,,414.455,5.9095,6301.0,131.309,4.10299,0.0818897,1.63775,0.0757537,2020-08-10 07:20:18,montalto,,29403,"new CTOI, Montalto et al. (2020)"
47142025,47142025.01,,,,,,,,,PC,,10.6537,0.006,144.859058,-6.397553,-44.881,0.12,-104.494,0.20600000000000002,2458526.3122,0.0118,,,3.446706,0.041280000000000004,3169.5,38.02,2.67,1.54,,,,,,,,,13.47,0.08,,,,,,,,,,,,,,,,,,,132.016,1.4995,5258.0,124.20100000000001,4.5532,0.08384639999999999,0.8309120000000001,0.0479523,2021-04-14 02:46:20,steuer,,96282,Found with our in-house single transit finder
47601197,47601197.01,2350.01,,,,,,,,PC,,10.6477,0.006,97.40812199999999,-21.994385,-5.327999999999999,0.024,-9.006,0.045,2458467.9608,0.0011,8.62562,,4.5587919999999995,,4190.0,,0.124,0.006,86.31,0.54,0.88,0.01,0.07,0.006,13.6,1.93,8.26,1.15,,,,,,,0.64,0.39,,,,,,,,,,,185.50599999999997,1.006,5484.0,123.896,4.35271,0.0798985,1.0809799999999998,0.056231100000000006,2020-08-10 07:20:18,montalto,,29321,"new CTOI, Montalto et al. (2020)"
47601197,47601197.02,2350.02,,,,,,,,PC,,10.6477,0.006,97.40812199999999,-21.994385,-5.327999999999999,0.024,-9.006,0.045,2458465.7278,0.0116,4.8800099999999995,0.00425,0.9786889999999999,,901.0,,0.111,0.019,86.15,1.03,0.7,0.11,0.028999999999999998,0.004,10.49,2.44,3.42,0.63,,,,,,,0.92,1.27,,,,,,,,,,,185.50599999999997,1.006,5484.0,123.896,4.35271,0.0798985,1.0809799999999998,0.056231100000000006,2020-08-10 07:20:18,montalto,,29542,"new CTOI, Montalto et al. (2020)"
47625466,47625466.01,,,,,,,,,PC,,11.8334,0.006,278.89661,52.881356000000004,2.819,0.046,-40.675,0.045,2458683.57,,8.26,,0.651496,,599.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.18200000000002,1.2565,5419.0,119.76,4.63454,0.0817207,0.774496,0.0405025,2021-02-11 10:59:35,chiarello,,94190,"Possible two planets, as the light curve shows two different kind of depths"
47757785,47757785.01,,,,,,,,,PC,,8.2533,0.006999999999999999,279.984396,51.092506,-2.451,0.043,-68.23899999999999,0.046,2458702.2,,15.7,,0.001031,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.775,0.4755,5581.0,124.255,3.6474,0.081773,2.46634,0.129678,2022-08-06 15:57:35,vanes,,418200,"New CTOI, multiple periodic dips in 4 different observation periods over a 1000 days in TESS observations"
48018596,48018596.01,2295.01,,,,,,,,PC,,9.007719999999999,0.006,281.576196,50.492466,-61.841,0.049,26.834,0.045,2458713.46,0.01,0.0,0.0,1.6298270000000001,0.543004,1500.0,500.0,4.8,1.0,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,126.279,0.395,5660.0,124.12799999999999,4.10485,0.0742244,1.47127,0.0724272,2020-05-16 02:59:51,eisner,,19143,PHT candidate. Single transit event.
48139432,48139432.01,,,,,,,,,PC,,11.8501,0.006,282.466423,49.815952,-12.282,0.033,39.995,0.038,2458733.4459,0.1399,,,217.830081,404.092719,181784.0,310772.0,5.0,,,,,,,,,,32.5313,27.9361,,,,,,,,,,,,,,,,,,,145.58700000000002,0.371,4586.0,130.27200000000002,4.60398,0.100672,0.703418,0.05765069999999999,2022-04-28 22:03:58,dragomir,tfopwg,415350,single transit event from the TSTPC working group
48217457,48217457.01,4454.01,,,,,,,,PC,,14.3168,0.006999999999999999,282.966215,48.345055,1.565,0.043,1.242,0.042,2458686.225070859,,3.1272869856525785,,4.218138,,3877.5115790022223,,2.5176822929048708,,,,0.6643222356476696,,0.06226966821015045,,,,,,,,,,,,,,,,,,,,,,,,1145.28,29.165,5983.0,122.0,4.3973,,1.09921,,2020-07-14 13:40:48,wilson,,28551,Kepler confirmed planet KOI-194.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
48882295,48882295.01,,,,,,,,,PC,,12.8725,0.006999999999999999,100.702552,-22.104754999999997,-0.228,0.015,0.7809999999999999,0.025,2459217.5508,0.0292,,,8.287312,3.671592,7603.84,3375.95,6.73,4.68,,,,,,,,,21.7,4.38,,,,,,,,,,,,,,,,,,,1332.75,27.97,6312.0,127.728,3.8166900000000004,0.0892628,2.27719,0.10827200000000001,2021-02-15 04:50:07,steuer,,94385,Found with our in-house single transit finder
49043968,49043968.01,,,,,,,,,PC,,11.6337,0.008,164.34913999999998,-29.997123,-49.031000000000006,0.053,1.227,0.055,2458562.457,0.0019,12.4922,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.087,5.308,6132.0,127.507,4.38741,0.08427799999999999,1.14172,0.0533769,2020-12-21 12:48:58,brahm,,92687,WINE warm jupiter candidate
49045066,49045066.01,2992.01,,,,,,,,PC,,11.9728,0.006,164.316564,-32.322438,-10.001,0.053,14.593,0.054000000000000006,2458544.0689330003,,3.007212,,7.756672,,7118.7,,3.8276,,,,0.57,,0.0825,,,,14.310071404391936,,,,,,,,,,,,,,,,,,,,542.026,12.962,5999.07,118.068,4.10628,0.07982230000000001,1.54367,0.0783919,2021-02-08 16:07:01,olmschenk,,93955,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
49428710,49428710.01,5174.01,,,,,,,,PC,,10.6309,0.006999999999999999,174.109497,-2.023351,6.787999999999999,0.085,-70.792,0.054000000000000006,2459527.296,0.003,12.219000000000001,0.002,1.662448,0.141155,1530.0,130.0,4.7,0.2,,,,,,,,,4.7,0.3,,,,,,,,,,,,,,,,,,,197.243,2.1815,5643.77,110.947,4.35958,0.07362669999999999,1.09457,0.0513442,2022-02-03 09:10:18,eisner,,107707,PHT candidate.
49678165,49678165.01,,,,,,,,,PC,,12.9993,0.006999999999999999,351.517489,-10.623807000000001,158.953,0.14400000000000002,8.092,0.1,24581371.1945,0.0038,35.64,32.19,,,,,,,90.0,0.36,,,0.1,0.01,74.13,64.74,3.02,0.21,,,0.3,0.3,,,,,,,,,,,,,,,39.2716,0.12275,3064.0,157.0,4.94194,0.00769985,0.285641,0.00854479,2019-02-21 16:01:33,christiansen,,2163,Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
50270480,50270480.01,,,,,,,,,PC,,12.4642,0.006999999999999999,29.170795000000002,-71.953642,196.265,0.03,-23.886999999999997,0.024,2458354.541910916,0.0455412007029281,1.6514421433634452,0.0056546473633099,1.078666,0.004699,992.9947149431466,4.328215057866723,1.097342660182125,,,,0.6734344125654671,0.15362424602435035,0.034528873355768736,0.005046835166872995,9.35378926982579,0.21249515077359404,1.8744043157860468,0.2739680939015372,,,,,,,,,0.02164260295429257,0.0004916668577023743,,,,,,,,,95.1422,0.1532,3955.0,157.0,4.73944,0.00816859,0.49768,0.014909200000000001,2021-04-06 14:55:12,feliz,,95998,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
50309953,50309953.01,1109.01,,,,,,,,PC,,9.7906,0.006,30.198486,-77.610376,58.003,0.047,-33.25,0.036000000000000004,,,7.04,,0.001085,,0.9990351000000001,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,102.238,0.2185,5411.0,130.63299999999998,4.49104,0.08281480000000001,0.912171,0.0518744,2019-04-07 00:12:26,lipponen,,3078,second try
50361536,50361536.01,,,,,,,,,PC,,11.6536,0.012,40.469042,61.76710799999999,-1.526,0.034,2.681,0.057,2458793.46504,0.00564,12.9725,0.00867,123.08536000000001,,107176.0,,4.2,0.2,84.3,0.5,1.222,0.113,0.327,0.10300000000000001,,,92.8,29.2,,,,,,,,,0.1482,0.0013,,,,,,,,,1070.19,35.27,8558.0,172.59599999999998,3.87901,0.0775623,2.77792,0.12384400000000001,2021-09-07 08:21:56,nardiello,,99699,"new CTOI likely member of NGC 1027, PATHOS-47 in Nardiello et al. (2021)"
50380257,50380257.01,,,,,,,,,PC,,9.237701,0.006,32.980774,-72.678776,41.405,0.047,30.072,0.054000000000000006,2458326.9463,,1.348611,,5502.734388,,993706.29699585,,2.6666666666666696,,,,,,,,,,12.808713444224601,,,,,,,,,,,,,,,,,,,,185.952,0.9555,6623.0,137.864,4.21473,0.087915,1.52467,0.06417590000000001,2019-05-25 09:17:28,lipponen,,3787,sector1
50580647,50580647.01,,,,,,,,,PC,,10.3745,0.006,112.627817,-12.009793,-17.851,0.078,4.5169999999999995,0.071,2458496.51,,4.91,,0.067415,,62.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.28400000000002,3.1185,6103.0,129.019,4.30085,0.0843967,1.25482,0.057349199999999996,2021-01-21 13:55:47,chiarello,,93456,All info obtained using the LightKurve framework
51022999,51022999.01,,,,,,,,,PC,,16.2885,0.012,41.928675,61.65538299999999,-1.589,0.10400000000000001,2.032,0.18,2458794.50616,0.00283,7.73355,0.00196,53.258237,,47869.0,,3.6,0.0,89.8,0.2,0.076,0.066,0.21899999999999997,0.006,,,19.0,0.5,,,,,,,,,0.0736,0.0003,,,,,,,,,1127.34,117.23,4877.0,125.0,4.51218,,0.8212729999999999,,2021-09-07 08:21:56,nardiello,,99700,"new CTOI likely member of NGC 1027, PATHOS-48 in Nardiello et al. (2021)"
51099561,51099561.01,,,,,,,,,PC,,7.781000000000001,0.006,108.77891899999999,57.276652,110.01799999999999,0.083,-77.256,0.079,2458849.1324,0.0029,,,17.523288,7.391825,16010.0,6785.0,,,,,,,,,,,16.1364,3.5007,,,,,,,,,,,,,,,,,,,60.7346,0.2272,5836.0,123.96,4.323180000000001,0.07197339999999999,1.1696,0.05437430000000001,2022-04-28 22:03:58,dragomir,tfopwg,415396,single transit event from the TSTPC working group
51238317,51238317.01,,,,,,,,,PC,,10.7496,0.006999999999999999,110.52052900000001,57.744935,-7.46,0.051,-6.322,0.051,2458850.663,0.003,14.261,0.008,15.715214999999999,0.130296,14370.0,120.0,7.056,0.312,,,,,,,,,24.546,0.1,,,,,,,,,,,,,,,,,,,442.0,6.836,6569.0,122.426,4.02634,0.0887145,1.87342,0.0809849,2021-01-27 10:44:37,steuer,,93712,Found with our in-house single transit finder; Sector 20
51947865,51947865.01,,,,,,,,,PC,,7.297999999999999,0.040999999999999995,138.75731499999998,-20.120407,-19.3,3.2,4.8,3.2,2459255.99599,0.0014,3.6990300000000005,0.00041,5.359916,0.266798,4924.5,245.7,2.4071,,,,,,,,,,11.26,4.45,,,,,,,,,,,,,,,,,,,156.986,,,,,,,,2021-05-13 17:16:30,gsun,,97003,newCTOI
